aaoID,dept,matter,
20100506,THE DEPARTMENT OF HEALTH AND AGEING,Aboriginal and Torres Strait Islander health programs and policies,
20100629,THE DEPARTMENT OF HEALTH AND AGEING,Aboriginal and Torres Strait Islander health programs and policies,
20100914,THE DEPARTMENT OF HEALTH AND AGEING,Aboriginal and Torres Strait Islander health programs and policies,
20101014,THE DEPARTMENT OF HEALTH AND AGEING,Aboriginal and Torres Strait Islander health programs and policies,
20111019,THE DEPARTMENT OF HEALTH AND AGEING,Aboriginal and Torres Strait Islander health programs and policies,
20111207,THE DEPARTMENT OF HEALTH AND AGEING,Aboriginal and Torres Strait Islander health programs and policies,
20111214,THE DEPARTMENT OF HEALTH AND AGEING,Aboriginal and Torres Strait Islander health programs and policies,
20120209,THE DEPARTMENT OF HEALTH AND AGEING,Aboriginal and Torres Strait Islander health programs and policies,
20130325,THE DEPARTMENT OF HEALTH AND AGEING,Aboriginal and Torres Strait Islander health programs and policies,
20130516,THE DEPARTMENT OF HEALTH AND AGEING,Aboriginal and Torres Strait Islander health programs and policies,
20171220,THE ATTORNEY GENERAL'S DEPARTMENT,"Administration of criminal justice, including - criminal law policy and principles of criminal responsibility; matters relating to prosecution; sentencing and management of federal offenders; international crime co-operation, including extradition and mutual assistance in criminal matters",
20180419,THE ATTORNEY GENERAL'S DEPARTMENT,"Administration of criminal justice, including - criminal law policy and principles of criminal responsibility; matters relating to prosecution; sentencing and management of federal offenders; international crime co-operation, including extradition and mutual assistance in criminal matters",
20180510,THE ATTORNEY GENERAL'S DEPARTMENT,"Administration of criminal justice, including - criminal law policy and principles of criminal responsibility; matters relating to prosecution; sentencing and management of federal offenders; international crime co-operation, including extradition and mutual assistance in criminal matters",
20180828,THE ATTORNEY GENERAL'S DEPARTMENT,"Administration of criminal justice, including - criminal law policy and principles of criminal responsibility; matters relating to prosecution; sentencing and management of federal offenders; international crime co-operation, including extradition and mutual assistance in criminal matters",
20071203,"THE DEPARTMENT OF AGRICULTURE, FISHERIES AND FORESTRY","Administration of export controls on agricultural, fisheries and forestry industries products",
20080125,"THE DEPARTMENT OF AGRICULTURE, FISHERIES AND FORESTRY","Administration of export controls on agricultural, fisheries and forestry industries products",
20080501,"THE DEPARTMENT OF AGRICULTURE, FISHERIES AND FORESTRY","Administration of export controls on agricultural, fisheries and forestry industries products",
20100308,"THE DEPARTMENT OF AGRICULTURE, FISHERIES AND FORESTRY","Administration of export controls on agricultural, fisheries and forestry industries products",
