"ID","ACT_NO","YEAR","DATE","ACT_NAME_ID"
"C2004A00935","159","2001","2001-10-01","2118"
"C2018C00265","150","1989","2018-07-11","1693"
"C2018A00144","144","2018","2018-11-30","2119"
"C2004A04581","26","1993","1993-06-09","2120"
"C2004A04773","100","1994","1994-06-30","2121"
"C2004A05055","35","1996","1996-09-12","2122"
"C2004A05331","20","1998","1998-04-17","2123"
"C2004A00769","4","2001","2001-03-20","2124"
"C2004A00991","40","2002","2002-06-27","2125"
"C2018C00035","32","2005","2018-02-22","1552"
"C2004A04592","37","1993","1993-09-20","2126"
"C2004A04677","1","1994","1994-01-14","2127"
"C2004A05204","98","1997","1997-06-30","2128"
"C2004A03324","83","1986","1986-06-24","2129"
"C2016C00937","79","1984","2016-10-21","395"
"C2004A03448","39","1987","1987-06-05","2130"
"C2006A00152","152","2006","2006-12-07","2131"
"C2018A00145","145","2018","2018-11-30","2132"
"C2018A00146","146","2018","2018-11-30","2133"
"C2015A00014","14","2015","2015-03-19","2134"
"C2004A04480","189","1992","1992-12-18","2135"
"C2004A04953","103","1995","1995-09-29","2136"
"C2016C01003","164","1986","2016-10-28","607"
"C2004A01231","146","2003","2003-12-17","2137"
"C2016C00958","34","1987","2016-10-24","608"
"C2004A04772","99","1994","1994-06-30","2138"
"C2004A00619","27","2000","2000-04-03","2139"
"C2016C00111","191","1976","2016-02-04","609"
"C2013A00093","93","2013","2013-06-28","2140"
"C2004A02273","72","1980","1980-05-28","2141"
"C2004A03449","40","1987","1987-06-05","2142"
"C2004A03933","2","1990","1990-01-17","2143"
"C2004A04561","6","1993","1993-05-27","2144"
"C2004A04742","66","1994","1994-05-30","2145"
"C2004A04890","37","1995","1995-04-12","2146"
"C2004A05212","117","1997","1997-07-07","2147"
"C2004A01036","99","2002","2002-11-10","2148"
"C2007C00447","93","2006","2007-07-11","1345"
"C2015A00175","175","2015","2015-12-11","2149"
"C2004A03484","75","1987","1987-06-05","2150"
"C2004A04913","63","1995","1995-06-30","2151"
"C2004A00395","1","1999","1999-02-26","2152"
"C2004A00704","112","2000","2000-09-05","2153"
"C2009A00117","117","2009","2009-12-04","2154"
"C2012A00186","186","2012","2012-12-11","2155"
"C2004A00805","38","2001",,"2156"
"C2014A00132","132","2014","2014-12-12","2157"
"C2016C00179","10","2015","2016-03-08","2002"
"C2015A00126","126","2015","2015-09-10","2158"
"C2018C00429","2","1901","2018-11-02","108"
"C2011A00046","46","2011","2011-06-27","2159"
"C2004A01131","46","2003","2003-06-26","2160"
"C2005A00133","133","2005","2005-11-15","2161"
"C2016C00466","29","2000","2016-05-16","710"
"C2018C00172","91","1975","2018-05-22","109"
"C2005A00038","38","2005","2005-04-01","2162"
"C2004A01835","36","1978","1978-06-12","2163"
"C2018C00492","59","1977","2018-12-12","111"
"C2016C00728","34","1988","2016-07-05","112"
"C2015C00626","20","1984","2015-12-24","624"
"C2018C00098","144","1994","2018-04-09","2164"
"C2004A04472","181","1992","1992-12-16","2165"
"C2018C00322","68","2004","2018-08-08","1143"
"C2006A00063","63","2006","2006-06-22","2166"
"C2004A01275","40","2004","2004-04-21","2167"
"C2018C00143","223","1997","2018-05-07","1928"
"C2017C00058","26","2006","2017-03-01","1925"
"C2016C00761","27","2006","2016-07-08","1926"
"C2015A00055","55","2015","2015-05-26","2168"
"C2018C00141","112","1997","2018-05-07","555"
"C2006A00028","28","2006","2006-04-06","2169"
"C2008A00001","1","2008","2008-02-18","2170"
"C2008A00140","140","2008","2008-12-09","2171"
"C2004A00751","158","2000","2000-12-21","2172"
"C2004A01316","82","2004","2004-06-25","2173"
"C2011A00086","86","2011","2011-07-26","2174"
"C2005A00059","59","2005","2005-06-26","2175"
"C2015A00131","131","2015","2015-10-13","2176"
"C2016A00001","1","2016","2016-02-10","2177"
"C2006A00133","133","2006","2006-11-09","2178"
"C2007A00109","109","2007","2007-06-28","2179"
"C2007A00051","51","2007","2007-04-12","2180"
"C2005A00022","22","2005","2005-03-21","2181"
"C2014A00126","126","2014","2014-12-04","2182"
"C2013A00077","77","2013","2013-06-28","2183"
"C2013A00080","80","2013","2013-06-28","2184"
"C2016A00019","19","2016","2016-03-18","2016"
"C2016C00170","76","2013","2016-03-08","1927"
"C2018A00149","149","2018","2018-12-10","2185"
"C2018A00150","150","2018","2018-12-10","2186"
"C2018A00102","102","2018","2018-09-21","2187"
"C2014C00772","41","1994","2014-11-13","2"
"C2004A04715","39","1994","1994-03-15","6"
"C2004A04714","38","1994","1994-03-15","7"
"C2004A04716","40","1994","1994-03-15","8"
"C2016C00706","36","1994","2016-07-01","9"
"C2016C01012","262","1992","2016-10-28","10"
"C2004A01246","12","2004","2004-03-11","2188"
"C2007A00090","90","2007","2007-06-22","2189"
"C2004A04554","263","1992","1992-12-24","2190"
"C2016C00999","47","1994","2016-10-27","11"
"C2010A00113","113","2010","2010-07-14","2191"
"C2004A00850","83","2001","2001-07-11","2192"
"C2005C00491","13","2003","2005-07-25","2193"
"C2014C00508","125","2013","2014-08-04","1865"
"C2005A00042","42","2005","2005-04-01","2194"
"C2005C00264","79","2004","2005-04-13","2195"
"C2014A00091","91","2014","2014-07-21","2196"
"C2007A00091","91","2007","2007-06-22","2197"
"C2004C01404","38","2003",,"2198"
"C2004C01405","54","2004",,"2199"
"C2013A00017","17","2013","2013-03-27","2200"
"C2004A05165","67","1997","1997-06-05","460"
"C2017C00095","74","1963","2017-03-22","711"
"C2016C00936","50","1920","2016-10-21","712"
"C2004A00180","124","1974","1974-12-03","2201"
"C1973A00179","179","1973","1973-12-12","2202"
"C2004A02654","95","1982","1982-10-06","714"
"C2016C00769","81","1995","2016-07-08","720"
"C2012C00908","97","1995","2012-12-14","2203"
"C2016C00460","98","1995","2016-05-16","2204"
"C2004A00784","17","2001","2001-03-30","2205"
"C2018C00042","36","1996","2018-02-23","461"
"C2018C00408","42","1996","2018-10-09","719"
"C2004A00413","19","1999","1999-04-19","2206"
"C2007A00059","59","2007","2007-04-15","2207"
"C2010A00149","149","2010","2010-12-17","2208"
"C2015A00108","108","2015","2015-06-30","2209"
"C2018A00107","107","2018","2018-09-21","2210"
"C2010A00080","80","2010","2010-06-29","2211"
"C2016C00178","38","2007","2016-03-08","1380"
"C2007A00039","39","2007","2007-03-30","1381"
"C2004A00638","46","2000","2000-05-03","2212"
"C2016C00156","117","2014","2016-03-07","2213"
"C2004A02601","42","1982","1982-06-09","2214"
"C2014A00028","28","2014","2014-05-27","2215"
"C2015A00003","3","2015","2015-02-25","2216"
"C2015A00146","146","2015","2015-11-12","2217"
"C2016A00005","5","2016","2016-02-11","2218"
"C2006A00001","1","2006","2006-03-01","2219"
"C2016C01032","41","1956","2016-11-01","722"
"C2004C00997","145","1994",,"847"
"C2016C01028","30","1981","2016-11-01","396"
"C2008C00398","48","1960","2008-07-23","397"
"C2017C00324","103","1980","2017-10-03","398"
"C2010A00023","23","2010","2010-03-25","2220"
"C2012A00090","90","2012","2012-06-28","2221"
"C2018C00393","169","2006","2018-09-25","1323"
"C2007A00052","52","2007","2007-04-12","2222"
"C2017A00130","130","2017","2017-12-13","2223"
"C2007C00287","170","2006","2007-04-19","2224"
"C2010A00050","50","2010","2010-05-31","2225"
"C2016C00464","126","1998","2016-05-16","513"
"C2004A01339","104","2004","2004-06-30","1186"
"C2005A00127","127","2005","2005-11-03","2226"
"C2006C00754","144","2005","2006-12-22","2227"
"C2004A01359","124","2004","2004-08-16","2228"
"C2004A01360","125","2004","2004-08-16","2229"
"C2004A04877","21","1995","1995-03-29","1083"
"C2016A00069","69","2016","2016-11-10","2230"
"C2016A00070","70","2016","2016-11-10","2231"
"C2017A00029","29","2017","2017-04-12","2232"
"C2017A00030","30","2017","2017-04-12","2233"
"C2017A00060","60","2017","2017-06-23","2234"
"C2017A00061","61","2017","2017-06-23","2235"
"C2018A00018","18","2018","2018-03-28","2236"
"C2018A00019","19","2018","2018-03-28","2237"
"C2018A00048","48","2018","2018-06-27","2238"
"C2018A00049","49","2018","2018-06-27","2239"
"C2018A00050","50","2018","2018-06-27","2240"
"C2018A00051","51","2018","2018-06-27","2241"
"C2016A00071","71","2016","2016-11-10","2242"
