"ID","NAME"
"1","Agricultural and Veterinary Chemical Products (Collection of Interim Levy) Act 1994"
"2","Agricultural and Veterinary Chemical Products (Collection of Levy) Act 1994"
"3","Agricultural and Veterinary Chemical Products Interim Levy Imposition (Customs) Act 1994"
"4","Agricultural and Veterinary Chemical Products Interim Levy Imposition (Excise) Act 1994"
"5","Agricultural and Veterinary Chemical Products Interim Levy Imposition (General) Act 1994"
"6","Agricultural and Veterinary Chemical Products Levy Imposition (Customs) Act 1994"
"7","Agricultural and Veterinary Chemical Products Levy Imposition (Excise) Act 1994"
"8","Agricultural and Veterinary Chemical Products Levy Imposition (General) Act 1994"
"9","Agricultural and Veterinary Chemicals Act 1994"
"10","Agricultural and Veterinary Chemicals (Administration) Act 1992"
"11","Agricultural and Veterinary Chemicals Code Act 1994"
"12","Australian Animal Health Council (Live-stock Industries) Funding Act 1996"
"13","Australian Meat and Live-stock Industry Act 1997"
"14","Australian Meat and Live-stock Industry (Repeals and Consequential Provisions) Act 1997"
"15","Australian Meat and Live-stock (Quotas) Act 1990"
"16","Australian Wine and Brandy Corporation Act 1980"
"17","Ballast Water Research and Development Funding Levy Act 1998"
"18","Ballast Water Research and Development Funding Levy Collection Act 1998"
"19","Biological Control Act 1984"
"20","Blowering Water Storage Works Agreement Act 1963"
"21","Brigalow Lands Agreement Act 1962"
"22","Coarse Grains Levy (Consequential Provisions) Act 1992"
"23","Dairy Adjustment Act 1974"
"24","Dairy Adjustment Levy (Customs) Act 2000"
"25","Dairy Adjustment Levy (Excise) Act 2000"
"26","Dairy Adjustment Levy (General) Act 2000"
"27","Dairy Legislation (Transitional Provisions and Consequential Amendments) Act 1986"
"28","Dairy Produce Act 1986"
"29","Dartmouth Reservoir Agreement Act 1970"
"30","Domestic Meat Premises Charge Act 1993"
"31","Dried Vine Fruits (Rate of Primary Industry (Customs) Charge) Validation Act 2001"
"32","Dried Vine Fruits (Rate of Primary Industry (Excise) Levy) Validation Act 2001"
"33","Export Control Act 1982"
"34","Export Inspection and Meat Charges Collection Act 1985"
"35","Export Inspection (Establishment Registration Charges) Act 1985"
"36","Export Inspection (Quantity Charge) Act 1985"
"37","Export Inspection (Service Charge) Act 1985"
"38","Farm Household Support Act 1992"
"39","Fisheries Act 1952"
"40","Fisheries Administration Act 1991"
"41","Fisheries Agreements (Payments) Act 1991"
"42","Fisheries Legislation Amendment Act (No. 1) 1998"
"43","Fisheries Legislation (Consequential Provisions) Act 1991"
"44","Fisheries Levy Act 1984"
"45","Fisheries Management Act 1991"
"46","Fishing Levy Act 1991"
"47","Foreign Fishing Boats Levy Act 1981"
"48","Foreign Fishing Licences Levy Act 1991"
"49","Forestry and Timber Bureau Act 1930"
"50","Honey Legislation (Repeal and Amendment) Act 1992"
"51","Horticulture Marketing and Research and Development Services Act 2000"
"52","Horticulture Marketing and Research and Development (Repeals and Consequential Provisions) Act 2000"
"53","Imported Food Control Act 1992"
"54","Loan (Income Equalization Deposits) Act 1976"
"55","Meat Export Charge Act 1984"
"56","Meat Export Charge Collection Act 1984"
"57","Meat Inspection Act 1983"
"58","Meat Inspection Arrangements Act 1964"
"59","Murray-Darling Basin Act 1993"
"60","National Cattle Disease Eradication Reserve Act 1991"
"61","National Cattle Disease Eradication Trust Account Act 1991"
"62","National Residue Survey Administration Act 1992"
"63","National Residue Survey Levy Acts"
"64","National Residue Survey (Consequential Provisions) Act 1992"
"65","National Residue Survey Levies Regulations (Validation and Commencement of Amendments) Act 1999"
"66","Natural Resources Management (Financial Assistance) Act 1992"
"67","New South Wales Grant (Leeton Co-operative Cannery Limited) Act 1971"
"68","Northern Prawn Fishery Voluntary Adjustment Scheme Loan Guarantee Act 1985"
"69","Pig Industry Act 2001"
"70","Pig Industry (Transitional Provisions) Act 1986"
"71","Plant Breeder's Rights Act 1994"
"72","Plant Health Australia (Plant Industries) Funding Act 2002"
"73","Prawn Boat Levy Act 1995"
"74","Prawn Export Charge Act 1995"
"75","Prawn Export Promotion Act 1995"
"76","Primary Industries and Energy Research and Development Act 1989, except to the extent that it is administered by the Minister for Industry, Tourism and Resources"
"77","Primary Industries Levies and Charges Collection Act 1991"
"78","Primary Industries Levies and Charges Collection (Consequential Provisions) Act 1991"
"79","Primary Industries (Customs) Charges Act 1999"
"80","Primary Industries (Excise) Levies Act 1999"
"81","Primary Industry Councils Act 1991"
"82","Quarantine Act 1908, in relation to animal, plant and general quarantine"
"83","Quarantine (Validation of Fees) Act 1985, in relation to animal, plant and general quarantine"
"84","Queensland Grant (Proserpine Flood Mitigation) Act 1976"
"85","Rural Adjustment Act 1992"
"86","Sewerage Agreements Acts"
