"ID","NAME"
"1","AFMA"
"2","AGRIFUTURES"
"3","APVMA"
"4","CRDC"
"5","DoAWR"
"6","FRDC"
"7","GRDC"
"8","MDBA"
"9","RIC"
"10","WA"
"11","AAT"
"12","ACLEI"
"13","AFSA"
"14","AG's"
"15","AHRC"
"16","ALRC"
"17","ASIO"
"18","DPP"
"19","FCA"
"20","HCA"
"21","NAA"
"22","OAIC"
"23","OPC"
"24","ABC"
"25","ACMA"
"26","ACouncil"
"27","AFTRS"
"28","ANMM"
"29","DOCA"
"30","NFSA"
"31","NGA"
"32","NLA"
"33","NMA"
"34","NPG"
"35","OPH"
"36","SA"
"37","SBS"
"38","Defence"
"39","ACARA"
"40","AITSL"
"41","ARC"
"42","ASQA"
"43","DET"
"44","TEQSA"
"45","ARENA"
"46","BOM"
"47","CCA"
"48","CEFC"
"49","CER"
"50","DNP"
"51","DOTEE"
"52","GBRMPA"
"53","SHFT"
"54","AEC"
"55","CSC"
"56","FFMA"
"57","FINANCE"
"58","IPEA"
"59","ACIAR"
"60","AusTrade"
"61","DFAT"
"62","Other Agency"
"63","Tourism Australia"
"64","AACQA"
"65","ACSQHC"
"66","ADHA"
"67","AIHW"
"68","ARPANSA"
"69","ASADA"
"70","ASC"
"71","CA"
"72","FSANZ"
"73","Health"
"74","IHPA"
"75","NBA"
"76","NHFB"
"77","NHMRC"
"78","NMHC"
"79","OTA"
"80","PSR"
"81","ACIC"
"82","AFP"
"83","AIC"
"84","AUSTRAC"
"85","Home Affairs"
"86","DHS"
"87","AMSA"
"88","ATSB"
"89","CASA"
"90","DIRDC"
"91","IA"
"92","IPFA"
"93","NCA"
"94","NTC"
"95","AIMS"
"96","ANSTO"
"97","CSIRO"
"98","DIIS"
"99","GA"
"100","IPA"
"101","NAIF"
"102","NOPSEMA"
"103","ABCC"
"104","ASEA"
"105","Comcare"
"106","FWC"
"107","FWOROCE"
"108","Jobs and Small Business"
"109","SWA"
"110","DPS"
"111","House of Reps"
"112","PBO"
"113","Senate"
"114","AHL"
"115","AIATSIS"
"116","ANAO"
"117","APSC"
"118","DTA"
"119","IBA"
"120","ILC"
"121","OCO"
"122","OIGIS"
"123","ONA"
"124","OOSGG"
"125","PM&C"
"126","TSRA"
"127","WGEA"
"128","AIFS"
"129","DSS"
"130","NDIA"
"131","NDIS_QSC"
"132","AASB"
"133","ABS"
"134","ACCC"
"135","AOFM"
"136","APRA"
"137","ASIC"
"138","ATO"
"139","AUASB"
"140","CGC"
"141","IGT"
"142","MINT"
"143","NCC"
"144","PC"
"145","TSY"
"146","AWM"
"147","DVA"
"148","AAAAB"
"149","ACC"
"150","AGs"
"151","AGWA"
"152","AOTDTA"
"153","ASIS"
"154","Austrade"
"155","Australia Council"
"156","Cancer Aust"
"157","Communication and the Arts"
"158","CrimTrac"
"159","DHA"
"160","DHOR"
"161","DIBP"
"162","DIRD"
"163","DTO"
"164","Education and Training"
"165","Employment"
"166","Environment"
"167","Federal Court"
"168","Finance"
"169","Foreign Affairs and Trade"
"170","FWBII"
"171","FWO"
"172","High Court"
"173","Industry"
"174","IP Australia"
"175","National Archives"
"176","NPGA"
"177","ODPP"
"178","RAM"
"179","RIRDC"
"180","Screen Australia"
"181","Treasury"
"182","Agriculture"
"183","Administrative Appeals Tribunal"
"184","Attorney-General's Department"
"185","Australian Federal Police"
"186","Australian Financial Security Authority"
"187","Australian Human Rights Commission"
"188","Australian Institute of Criminology"
"189","Australian Law Reform Commission"
"190","Office of Parliamentary Counsel"
"191","Office of the AIC"
"192","Office of the DPP"
"193","Aus Council"
"194","Communications"
"195","ScreenAustralia"
"196","Defence Housing"
"197","Foreign Affairs"
"198","Immigration"
"199","Geoscience Australia"
"200","Industry, Innovation and Science"
"201","Social Security"
"202","Aboriginal Hostels Limited"
"203","Asbestos Safety and Eradication Agency"
"204","Australian Broadcasting Corporation"
"205","Australian Bureau of Statistics"
"206","Australian Centre for International Agricultural Research (ACIAR)"
"207","Australian Commission for Law Enforcement Integrity (ACLEI)"
"208","Australian Commission on Safety and Quality in Health Care"
"209","Australian Communications and Media Authority (ACMA)"
"210","Australian Competition and Consumer Commission"
"211","Australian Curriculum, Assessment and Reporting Authority"
"212","Australian Customs and Border Protection Service"
"213","Australian Electoral Commission"
"214","Australian Film, Television and Radio School"
"215","Australian Fisheries Management Authority"
"216","Australian Grape and Wine Authority"
"217","Australian Institute for Teaching and School Leadership Limited"
"218","Australian Institute of Aboriginal and Torres Strait Islander Studies"
"219","Australian Institute of Health and Welfare"
"220","Australian Institute of Marine Science"
"221","Australian Maritime Safety Authority"
"222","Australian National Audit Office"
"223","Australian National Maritime Museum"
"224","Australian Nuclear Science and Technology Organisation"
"225","Australian Office of Financial Management (AOFM)"
"226","Australian Pesticides and Veterinary Medicines Authority (APVMA)"
"227","Australian Prudential Regulation Authority (APRA)"
"228","Australian Public Service Commission (APS Commission)"
"229","Australian Radiation Protection and Nuclear Safety Agency (ARPANSA)"
"230","Australian Research Council"
"231","Australian Secret Intelligence Service"
"232","Australian Securities and Investments Commission (ASIC)"
"233","Australian Security Intelligence Organisation"
"234","Australian Skills Quality Authority (National Vocational Education and Training Regulator)"
"235","Australian Sports Anti-Doping Authority (ASADA)"
"236","Australian Sports Commission (Australian Institute of Sport)"
"237","Australian Taxation Office"
"238","Australian Trade Commission (Austrade)"
"239","Australian Transaction Reports and Analysis Centre (AUSTRAC)"
"240","Australian Transport Safety Bureau (ATSB)"
"241","Bureau of Meteorology"
"242","Cancer Australia"
"243","Civil Aviation Safety Authority"
"244","Clean Energy Finance Corporation"
"245","Clean Energy Regulator"
"246","Commonwealth Grants Commission"
"247","Commonwealth Scientific and Industrial Research Organisation"
"248","Commonwealth Superannuation Corporation"
"249","Comsuper"
"250","Corporations and Markets Advisory Committee (CAMAC)"
"251","Cotton Research and Development Corporation"
"252","CrimTrac Agency"
"253","Defence Housing Australia"
"254","Defence Materiel Organisation"
"255","Department of Agriculture"
"256","Department of Communications"
"257","Department of Defence"
"258","Department of Education"
"259","Department of Employment"
"260","Department of Finance"
"261","Department of Foreign Affairs and Trade"
"262","Department of Health"
"263","Department of Human Services"
"264","Department of Immigration and Border Protection"
"265","Department of Industry"
"266","Department of Parliamentary Services"
"267","Department of the Environment"
"268","Department of the House of Representatives"
"269","Department of the Prime Minister and Cabinet"
"270","Department of the Senate"
"271","Department of the Treasury"
"272","Department of Veterans' Affairs"
"273","Director of National Parks"
"274","Equal Opportunity for Women in the Workplace Agency (Workplace Gender Equality Agency)"
"275","Fair Work Commission"
"276","Family Court and Federal Circuit Court"
"277","Federal Court of Australia"
"278","Fisheries Research and Development Corporation"
"279","Food Standards Australia New Zealand"
"280","Future Fund Management Agency"
"281","General Practice Education and Training Limited"
"282","Grains Research and Development Corporation"
"283","Great Barrier Reef Marine Park Authority"
"284","High Court of Australia"
"285","Independent Hospital Pricing Authority"
"286","Indigenous Business Australia"
"287","Indigenous Land Corporation"
"288","Migration Review Tribunal and Refugee Review Tribunal (MRT-RRT)"
"289","Murray-Darling Basin Authority"
"290","National Archives of Australia"
"291","National Blood Authority"
"292","National Capital Authority"
"293","National Competition Council"
"294","National Film and Sound Archive of Australia"
