"ACT_NO","YEAR","ACT_NAME_ID"
"116","1998","3966"
"58","1999","7277"
"85","1999","7278"
"84","1999","826"
"67","1999","7279"
"70","1999","7280"
"111","1999","7281"
"110","1999","7282"
"21","2004","7283"
"68","1999","7284"
"86","1999","829"
"45","2000","434"
"81","1999","433"
"82","1999","7285"
"83","1999","7286"
"80","1999","432"
"17","1999","7287"
"52","2000","7288"
"56","1999","7289"
"1","2005","7290"
"2","2005","7291"
"3","2005","7292"
"73","1999","7293"
"74","1999","7294"
"75","1999","7295"
"57","1999","834"
"55","1999","830"
"60","1999","7296"
"59","1999","7297"
"177","1999","7298"
"176","1999","7299"
"98","2008","7300"
"99","2008","7301"
"100","2008","7302"
"77","1999","7303"
"78","1999","7304"
"79","1999","7305"
"76","1999","835"
"99","2018","7306"
"52","2015","7307"
"18","1999","7308"
"53","2000","7309"
"178","1999","7310"
"69","1999","7311"
"44","2000","7312"
"91","2000","7313"
"179","1999","7314"
"61","1999","7315"
"69","2000","7316"
"71","1999","7317"
"72","1999","7318"
"63","1999","841"
"64","1999","7319"
"65","1999","7320"
"66","1999","7321"
"62","1999","840"
"109","1988","7322"
"49","1992","7323"
"159","2001","2118"
"6","1993","7324"
"115","1973","602"
"144","2018","2119"
"150","1989","603"
"98","1997","7325"
"120","1999","3967"
"37","1993","2126"
"1","1994","2127"
"26","1993","2120"
"100","1994","2121"
"35","1996","2122"
"20","1998","2123"
"4","2001","2124"
"40","2002","2125"
"32","2005","1552"
"79","1984","7219"
"83","1986","2129"
"39","1987","2130"
"152","2006","2131"
"146","2018","2133"
"145","2018","2132"
"14","2015","2134"
"18","2013","1694"
"75","1975","604"
"11","1978","7326"
"186","1976","606"
"56","1978","3968"
"189","1992","2135"
"34","1980","3969"
"148","1989","3970"
"1","1990","7220"
"146","1991","3971"
"161","1992","3972"
"85","1993","3973"
"118","1994","3974"
"154","1968","3975"
"34","1987","608"
"99","1994","2138"
"159","1974","3976"
"164","1986","607"
"146","2003","2137"
"103","1995","2136"
"191","1976","609"
"121","2007","3984"
"1","1999","2152"
"83","1978","3981"
"18","1987","3983"
"63","1995","2151"
"27","2000","2139"
"70","1978","3982"
"75","1987","2150"
"112","2000","2153"
"21","1978","3978"
"189","1979","3979"
"72","1980","2141"
"93","1985","3980"
"40","1987","2142"
"2","1990","2143"
"66","1994","2145"
"37","1995","2146"
"117","1997","2147"
"99","2002","2148"
"93","2006","1345"
"175","2015","2149"
"93","2013","2140"
"16","1982","3977"
"103","1974","3985"
"117","2009","2154"
"186","2012","2155"
"140","1999","7327"
"139","1999","7328"
"136","2009","7329"
"25","2007","7330"
"149","2000","7331"
"83","2002","7332"
"96","2003","7333"
"94","2009","7334"
"15","1948","3992"
"15","1948","3992"
"132","2014","7335"
"126","2015","2158"
"10","2015","2002"
"37","1976","107"
"2","1901","108"
"2","1901","108"
"1","1904","3993"
"1","1904","3993"
"4","1916","3994"
"8","1918","3995"
"8","1918","3995"
"23","1930","3996"
"23","1930","3996"
"24","1932","3997"
"24","1932","3997"
"10","1937","3998"
"10","1937","3998"
"7","1941","3999"
"7","1941","3999"
"79","1948","4000"
"79","1948","4000"
"69","1957","4001"
"19","1963","4002"
"52","1964","4003"
"79","1973","4004"
"46","2003","2160"
"133","2005","2161"
"144","1976","4005"
"35","1978","4006"
"1","1980","4007"
"27","1984","4008"
"125","1998","4009"
"46","2011","2159"
"29","2000","710"
"85","1974","4014"
"91","1975","109"
"58","1977","4015"
"65","1978","4016"
"143","1979","4017"
"31","1993","4018"
"38","2005","2162"
"92","1987","691"
"91","1976","4019"
"36","1978","2163"
"59","1977","111"
"66","1978","4020"
"111","1980","4021"
"140","1982","7336"
"5","1989","4023"
"80","1990","4024"
"34","1988","112"
"20","1984","624"
"19","1923","4025"
"19","1923","4025"
"106","1976","4026"
"7","1981","7337"
"144","1994","1110"
"91","1986","7221"
"30","1989","4028"
"181","1992","2165"
"40","2004","2167"
"68","2004","1143"
"63","2006","2166"
"55","2015","2168"
"26","2006","1302"
"77","2013","2183"
"27","2006","1303"
"80","2013","2184"
"113","1997","556"
"114","1997","557"
"76","2013","1927"
"102","2018","2187"
"28","2006","2169"
"1","2008","2170"
"140","2008","2171"
"122","1998","4029"
"59","2005","2175"
"131","2015","2176"
"132","1999","4030"
"1","2016","2177"
"133","2006","2178"
"109","2007","2179"
"51","2007","2180"
"22","2005","2181"
"158","2000","2172"
"82","2004","2173"
"86","2011","2174"
"126","2014","2182"
"103","1997","4031"
"19","2016","2016"
"150","2018","2186"
"149","2018","2185"
"115","1974","4032"
"157","1980","4033"
"87","1989","4034"
"81","1954","7222"
"47","1957","4036"
"83","1967","4037"
"68","1969","4038"
"84","1972","4039"
"128","1973","4040"
"76","1972","7223"
"131","1974","4041"
"92","1976","4042"
"31","1923","4043"
"31","1923","4043"
"71","1994","1"
"41","1994","2"
"72","1994","7338"
"73","1994","3"
"75","1994","4"
"74","1994","5"
"39","1994","6"
"38","1994","7"
"40","1994","8"
"262","1992","10"
"76","1994","4046"
"12","2004","2188"
"90","2007","2189"
"37","1994","1173"
"91","1988","4045"
"36","1994","9"
"263","1992","2190"
"47","1994","11"
"113","2010","2191"
"42","2005","2194"
"79","2004","2195"
"91","2014","2196"
"83","2001","2192"
"13","2003","2193"
"125","2013","1865"
"82","1966","7339"
"86","1970","4047"
"71","1972","4048"
"57","1973","4049"
"30","1977","4050"
"91","2007","2197"
"115","2001","7340"
"94","2006","7341"
"97","2004","7342"
"117","1998","4051"
"4","1999","7343"
"121","2000","7344"
"38","2003","2198"
"54","2004","2199"
"17","2013","2200"
"170","1999","7345"
"139","2004","7346"
"67","1997","7347"
"134","1973","4052"
"70","1982","7348"
"127","1976","4053"
"69","1978","4054"
"74","1963","7224"
"56","1970","4056"
"50","1971","4057"
"88","1957","4066"
"33","1923","306"
"33","1923","306"
"74","1939","4058"
"74","1939","4058"
"12","1941","4059"
"12","1941","4059"
"15","1952","4060"
"73","1956","4061"
"94","1964","4062"
"50","1965","4063"
"138","1976","4064"
"134","1979","4065"
"125","1965","4095"
"101","1952","713"
"87","1957","4081"
"49","1960","4082"
"78","1962","4083"
"97","1963","4084"
"95","1964","4085"
"107","1965","4086"
"48","1966","4087"
"79","1967","4088"
"84","1968","4089"
"75","1969","4090"
"105","1970","4091"
"100","1972","4092"
