"SRC_AGENCY_ID","DST_AGENCY_ID","START_DATE","END_DATE","TYPE","SCORE"
"334","214","2015-07-01","2016-06-30","phrase","26.626020431518555"
"143","293","2016-07-01","2019-06-30","acronym","7.070080280303955"
"130","370","2016-07-01","2016-09-11","acronym","7.8585381507873535"
"229","353","2014-12-11","2015-06-30","shingle","53.16202163696289"
"200","1132","2017-07-01","2018-06-30","shingle","28.14412498474121"
"317","352","2014-12-11","2015-06-30","shingle","101.16902923583984"
"312","2332","2014-12-11","2015-02-15","term","40.63384246826172"
"75","291","2016-07-01","2019-06-30","acronym","7.070080280303955"
"100","174","2018-07-01","2019-06-30","acronym","7.070080280303955"
"206","929","2014-12-11","2015-06-30","3gram","192.6871337890625"
"129","367","2018-07-01","2019-06-30","acronym","7.070080280303955"
"129","367","2016-07-01","2017-06-30","acronym","7.070080280303955"
"64","368","2016-07-01","2019-06-30","acronym","7.070080280303955"
"153","231","2016-07-01","2018-06-30","acronym","7.070080280303955"
"154","238","2015-07-01","2016-09-11","term","7.523071765899658"
"226","2041","2014-12-11","2015-04-23","phrase","23.373414993286133"
"55","248","2016-07-01","2019-06-30","acronym","5.857057571411133"
"323","331","2014-12-11","2015-06-30","shingle","46.659175872802734"
"159","253","2016-07-01","2017-06-30","acronym","6.805387496948242"
"343","217","2015-07-01","2016-06-30","shingle","60.18888473510742"
"172","1551","2017-12-31","2018-06-30","term","7.331276893615723"
"191","188","2017-07-01","2018-06-30","acronym","6.100679874420166"
"96","224","2016-07-01","2019-06-30","acronym","7.070080280303955"
"38","257","2016-07-01","2019-06-30","term","5.000669479370117"
"197","261","2017-07-01","2018-06-30","3gram","90.23631286621094"
"110","266","2016-07-01","2019-06-30","acronym","7.070080280303955"
"165","259","2016-07-01","2017-12-30","term","9.709434509277344"
"86","263","2016-07-01","2019-06-30","acronym","7.070080280303955"
"138","237","2016-07-01","2019-06-30","acronym","7.070080280303955"
"226","2041","2014-12-11","2015-04-23","term","23.373416900634766"
"73","262","2016-07-01","2019-06-30","term","4.131858825683594"
"239","1077","2014-12-11","2016-06-30","3gram","207.1500244140625"
"344","655","2015-07-01","2016-06-30","phrase","11.63869571685791"
"364","306","2015-07-01","2016-06-30","3gram","92.6261215209961"
"1","215","2016-07-01","2019-06-30","acronym","7.070080280303955"
"162","361","2016-07-01","2017-12-30","acronym","7.431093215942383"
"229","353","2014-12-11","2015-06-30","term","23.62291717529297"
"22","309","2018-07-01","2019-06-30","acronym","7.070080280303955"
"22","309","2016-07-01","2017-06-30","acronym","7.070080280303955"
"323","331","2014-12-11","2015-06-30","term","22.91147232055664"
"59","932","2016-07-01","2019-06-30","term","7.523071765899658"
"302","359","2014-12-11","2015-06-30","3gram","290.03240966796875"
"57","260","2018-07-01","2019-06-30","term","7.119109153747559"
"70","758","2016-07-01","2019-06-30","term","6.463235855102539"
"366","269","2015-07-01","2016-06-30","term","20.882770538330078"
"5","380","2018-07-01","2019-06-30","acronym","7.522065162658691"
"5","380","2016-07-01","2017-06-30","acronym","7.522065162658691"
"97","1197","2017-05-17","2018-06-30","term","6.541642665863037"
"97","1197","2016-07-01","2017-02-02","term","6.541642665863037"
"200","1132","2017-07-01","2018-06-30","3gram","109.7187728881836"
"227","376","2014-12-11","2015-06-30","3gram","173.5743865966797"
"373","1446","2015-07-01","2016-06-30","shingle","36.361576080322266"
"41","230","2016-07-01","2019-06-30","acronym","5.912627696990967"
"337","276","2015-07-01","2016-06-30","phrase","18.273908615112305"
"77","1039","2016-07-01","2019-06-30","term","7.079561710357666"
"66","962","2016-09-12","2019-06-30","acronym","7.6221489906311035"
"156","242","2016-07-01","2017-06-30","3gram","40.055686950683594"
"234","655","2014-12-11","2015-06-30","3gram","293.0570068359375"
"118","1344","2017-07-01","2019-06-30","acronym","7.733374118804932"
"225","372","2014-12-11","2015-06-30","shingle","32.547176361083984"
"227","376","2014-12-11","2015-06-30","term","19.77767562866211"
"182","387","2017-07-01","2018-06-30","term","6.173452854156494"
"114","202","2016-07-01","2019-06-30","acronym","7.070080280303955"
"196","253","2017-07-01","2018-06-30","shingle","15.780040740966797"
"354","964","2015-07-01","2016-06-30","phrase","22.597238540649414"
"234","655","2014-12-11","2015-06-30","term","28.21643829345703"
"351","208","2015-07-01","2016-06-30","3gram","148.2587432861328"
"335","184","2015-07-01","2016-06-30","shingle","31.37177848815918"
"24","505","2016-07-01","2019-06-30","term","8.038095474243164"
"225","372","2014-12-11","2015-06-30","3gram","128.32691955566406"
"227","376","2014-12-11","2015-06-30","shingle","31.590200424194336"
"365","315","2015-07-01","2016-06-30","3gram","175.359619140625"
"135","372","2016-07-01","2019-06-30","acronym","7.070080280303955"
"72","279","2016-07-01","2019-06-30","acronym","7.070080280303955"
"112","318","2016-07-01","2019-06-30","acronym","7.070080280303955"
"228","378","2014-12-11","2015-06-30","shingle","29.677127838134766"
"85","1075","2018-07-01","2019-06-30","term","15.14291763305664"
"92","1209","2017-09-30","2019-06-30","acronym","8.001638412475586"
"164","345","2016-07-01","2018-06-30","term","11.055683135986328"
"373","1446","2015-07-01","2016-06-30","3gram","121.01974487304688"
"152","352","2016-07-01","2017-06-30","acronym","7.070080280303955"
"374","1448","2015-07-01","2016-06-30","phrase","10.957696914672852"
"111","268","2018-07-01","2019-06-30","term","7.2108659744262695"
"119","1392","2016-07-01","2017-02-02","term","5.571926593780518"
"10","383","2018-07-01","2019-06-30","acronym","8.168692588806152"
"284","277","2014-12-11","2016-06-30","term","9.577770233154297"
"48","244","2016-07-01","2019-06-30","acronym","7.070080280303955"
"69","1611","2016-09-12","2018-03-30","term","9.070693016052246"
"350","929","2015-07-01","2016-06-30","term","14.456440925598145"
"288","1983","2014-12-11","2015-06-30","shingle","67.05108642578125"
"297","356","2014-12-11","2015-06-30","term","19.586069107055664"
"19","277","2018-07-01","2019-06-30","acronym","6.759925365447998"
"232","375","2014-12-11","2015-06-30","3gram","153.0679473876953"
"321","358","2015-04-24","2015-06-30","shingle","23.40542984008789"
"308","1449","2014-12-11","2015-06-30","3gram","159.99827575683594"
"12","333","2016-07-01","2019-06-30","acronym","7.070080280303955"
"56","280","2016-07-01","2019-06-30","acronym","7.070080280303955"
"21","290","2018-07-01","2019-06-30","acronym","7.070080280303955"
"52","283","2016-07-01","2019-06-30","acronym","7.070080280303955"
"228","378","2014-12-11","2015-06-30","term","19.444934844970703"
"321","1050","2014-12-11","2015-04-23","3gram","126.24421691894531"
"344","655","2015-07-01","2016-06-30","3gram","120.98323059082031"
"157","499","2016-07-01","2017-06-30","shingle","27.164798736572266"
"167","277","2016-07-01","2018-06-30","shingle","16.81572151184082"
"89","243","2016-07-01","2019-06-30","acronym","7.070080280303955"
"32","299","2016-07-01","2019-06-30","acronym","7.070080280303955"
"49","245","2016-07-01","2019-06-30","acronym","7.070080280303955"
"164","345","2016-07-01","2018-06-30","shingle","21.907154083251953"
"343","217","2015-07-01","2016-06-30","phrase","23.164424896240234"
"28","223","2016-07-01","2019-06-30","acronym","7.070080280303955"
"198","264","2017-07-01","2017-12-30","term","7.907215118408203"
"169","261","2016-07-01","2017-06-30","shingle","34.78095626831055"
"98","1132","2018-07-01","2019-06-30","acronym","7.522065162658691"
"90","1206","2018-07-01","2019-06-30","acronym","8.168692588806152"
"157","499","2016-07-01","2017-06-30","term","7.782099723815918"
"71","242","2017-07-01","2019-06-30","acronym","6.67476749420166"
"169","261","2016-07-01","2017-06-30","term","17.972400665283203"
"350","929","2015-07-01","2016-06-30","shingle","29.543838500976562"
"193","1027","2017-07-01","2018-06-30","shingle","3.8842568397521973"
"338","294","2015-07-01","2016-06-30","shingle","44.917701721191406"
"97","1195","2018-07-01","2019-06-30","term","6.541642665863037"
"317","352","2014-12-11","2015-06-30","3gram","329.3169860839844"
"16","189","2018-07-01","2019-06-30","acronym","7.070080280303955"
"16","189","2016-07-01","2017-06-30","acronym","7.070080280303955"
"157","499","2016-07-01","2017-06-30","3gram","67.11003112792969"
"302","359","2014-12-11","2015-06-30","term","24.070039749145508"
"232","375","2014-12-11","2015-06-30","acronym","7.070080280303955"
"99","199","2018-07-01","2019-06-30","acronym","7.070080280303955"
"99","199","2016-07-01","2017-06-30","acronym","7.070080280303955"
"2","382","2018-07-01","2019-06-30","term","6.338886260986328"
"192","190","2017-07-01","2018-06-30","term","4.557685852050781"
"65","208","2016-07-01","2019-06-30","acronym","7.070080280303955"
"226","2041","2014-12-11","2015-04-23","3gram","252.96754455566406"
"348","241","2015-07-01","2016-06-30","term","7.377831935882568"
"96","1185","2016-07-01","2019-06-30","term","8.273992538452148"
"101","1133","2017-07-01","2019-06-30","acronym","7.6221489906311035"
"354","964","2015-07-01","2016-06-30","3gram","145.6087646484375"
"240","362","2014-12-11","2015-06-30","shingle","26.724939346313477"
"133","205","2016-07-01","2019-06-30","acronym","7.070080280303955"
"181","271","2015-07-01","2018-06-30","term","8.352021217346191"
"62","1059","2018-07-01","2019-06-30","term","4.742178440093994"
"43","345","2018-07-01","2019-06-30","acronym","7.132600784301758"
"226","2041","2014-12-11","2015-04-23","shingle","53.22397232055664"
"116","222","2016-07-01","2019-06-30","acronym","7.070080280303955"
"8","289","2016-07-01","2019-06-30","acronym","7.070080280303955"
"239","1077","2014-12-11","2016-06-30","term","26.088117599487305"
"60","930","2018-07-01","2019-06-30","term","6.8841681480407715"
"158","1694","2017-02-03","2017-06-30","term","7.401330471038818"
"335","184","2015-07-01","2016-06-30","3gram","154.14456176757812"
"179","382","2017-12-31","2018-06-30","acronym","7.070080280303955"
"232","375","2014-12-11","2015-06-30","term","18.427839279174805"
"94","304","2016-07-01","2019-06-30","acronym","7.070080280303955"
"201","367","2017-07-01","2018-06-30","term","6.93508768081665"
"338","294","2015-07-01","2016-06-30","term","21.939075469970703"
"191","190","2017-07-01","2018-06-30","term","4.557685852050781"
"125","1636","2017-09-30","2018-03-30","term","7.455316543579102"
"201","367","2017-07-01","2018-06-30","shingle","8.110559463500977"
"354","964","2015-07-01","2016-06-30","term","22.597240447998047"
"142","322","2018-07-01","2019-06-30","term","8.292696952819824"
"82","185","2018-07-01","2019-06-30","acronym","7.070080280303955"
"82","185","2016-07-01","2017-06-30","acronym","7.070080280303955"
"87","221","2016-07-01","2019-06-30","acronym","7.070080280303955"
"343","217","2015-07-01","2016-06-30","term","23.164424896240234"
"338","294","2015-07-01","2016-06-30","phrase","21.939075469970703"
"351","208","2015-07-01","2016-06-30","shingle","56.00257110595703"
"108","1329","2018-07-01","2019-06-30","shingle","37.496578216552734"
"113","270","2016-07-01","2019-06-30","term","9.237735748291016"
"121","310","2016-07-01","2019-06-30","acronym","7.070080280303955"
"134","210","2017-07-01","2019-06-30","acronym","6.634762287139893"
"178","322","2016-07-01","2018-06-30","acronym","7.070080280303955"
"240","362","2014-12-11","2015-06-30","term","17.349117279052734"
"39","211","2016-07-01","2019-06-30","acronym","7.070080280303955"
"312","346","2015-02-16","2015-06-30","shingle","92.65724182128906"
"172","276","2016-07-01","2016-09-11","shingle","8.992703437805176"
"297","356","2014-12-11","2015-06-30","3gram","102.87828063964844"
"206","929","2014-12-11","2015-06-30","term","20.013153076171875"
"109","324","2016-07-01","2019-06-30","acronym","7.070080280303955"
"351","208","2015-07-01","2016-06-30","term","19.420873641967773"
"117","378","2016-07-01","2019-06-30","acronym","6.392200469970703"
"134","1451","2017-07-01","2019-06-30","term","7.193044185638428"
"6","278","2016-07-01","2019-06-30","acronym","7.070080280303955"
"128","369","2016-07-01","2019-06-30","acronym","7.070080280303955"
"119","286","2016-07-01","2019-06-30","acronym","7.070080280303955"
"106","275","2016-07-01","2019-06-30","acronym","7.070080280303955"
"172","277","2016-09-12","2017-12-30","shingle","7.72576904296875"
"236","355","2014-12-11","2015-06-30","3gram","124.30084228515625"
"364","306","2015-07-01","2016-06-30","shingle","17.561050415039062"
"151","216","2016-07-01","2017-12-30","acronym","7.431093215942383"
"25","501","2016-07-01","2019-06-30","acronym","7.070080280303955"
"169","261","2016-07-01","2017-06-30","3gram","112.47596740722656"
"140","246","2016-07-01","2019-06-30","acronym","6.392200469970703"
"342","253","2015-07-01","2016-06-30","term","11.91663646697998"
"173","1787","2016-07-01","2016-09-11","term","4.639976978302002"
"24","204","2016-07-01","2019-06-30","acronym","5.991876602172852"
"366","269","2015-07-01","2016-06-30","3gram","114.85543823242188"
"147","272","2016-07-01","2019-06-30","acronym","7.070080280303955"
"194","499","2017-07-01","2018-06-30","term","6.138952732086182"
"336","311","2015-07-01","2016-06-30","term","17.572853088378906"
"240","362","2014-12-11","2015-06-30","3gram","126.22455596923828"
"88","362","2016-07-01","2019-06-30","acronym","7.070080280303955"
"36","180","2018-07-01","2019-06-30","acronym","7.070080280303955"
"124","315","2016-07-01","2019-06-30","acronym","7.070080280303955"
"348","241","2015-07-01","2016-06-30","3gram","103.51007843017578"
"344","655","2015-07-01","2016-06-30","term","11.63869571685791"
"107","1332","2018-07-01","2019-06-30","acronym","7.8585381507873535"
"103","1330","2017-07-01","2019-06-30","acronym","7.733374118804932"
"131","1432","2018-07-01","2019-06-30","acronym","8.957149505615234"
"316","339","2014-12-11","2015-06-30","shingle","27.5137939453125"
"172","1551","2017-12-31","2018-06-30","shingle","10.235804557800293"
"97","247","2016-07-01","2019-06-30","acronym","7.070080280303955"
"122","314","2016-07-01","2019-06-30","acronym","7.070080280303955"
"337","276","2015-07-01","2016-06-30","3gram","190.2599334716797"
"102","1721","2016-07-01","2017-09-29","term","9.070693016052246"
"58","760","2017-07-01","2019-06-30","acronym","7.8585381507873535"
"335","184","2015-07-01","2016-06-30","term","21.341432571411133"
"316","339","2014-12-11","2015-06-30","3gram","85.31018829345703"
"81","1076","2017-07-01","2019-06-30","acronym","7.6221489906311035"
"354","964","2015-07-01","2016-06-30","shingle","38.98619079589844"
"76","356","2016-07-01","2019-06-30","acronym","7.070080280303955"
"104","203","2016-07-01","2019-06-30","acronym","7.070080280303955"
"50","273","2016-07-01","2019-06-30","acronym","7.070080280303955"
"193","155","2017-07-01","2018-06-30","term","3.2661654949188232"
"126","329","2016-07-01","2019-06-30","acronym","7.070080280303955"
