"ID","NAME"
"1","Agricultural, pastoral, fishing, food and forest industries"
"2","Water, soils, and other natural resources"
"3","Rural adjustment and drought issues"
"4","Rural industries inspection and quarantine"
"5","Primary industries research including economic research"
"6","Commodity marketing, including export promotion and agribusiness"
"7","Commodity-specific international organisations and activities"
"8","Administration of international commodity agreements"
"9","Administration of export controls on agricultural, fisheries and forestry industries products"
"10","Food policy, processing and exports"
"11","Law and justice including -"
"12","Administrative law"
"13","Alternative dispute resolution"
"14","Bankruptcy"
"15","Censorship"
"16","Constitutional law"
"17","Copyright"
"18","Courts and tribunals"
"19","Human rights"
"20","International law"
"21","Law reform"
"22","Legal assistance"
"23","Legislative drafting"
"24","Marriage and family law"
"25","Native Title"
"26","Privacy"
"27","Legal services to the Commonwealth"
"28","Criminal law and law enforcement"
"29","Customs and border control other than quarantine and inspection, and immigration"
"30","National security, protective security policy and co-ordination"
"31","Protective services at Commonwealth establishments and diplomatic and consular premises in Australia"
"32","Commonwealth emergency management"
"33","Administrative support for Royal Commissions and certain other inquiries"
"34","Postal and telecommunications services"
"35","Management of the electromagnetic spectrum"
"36","Broadcasting services"
"37","Management of government records"
"38","Cultural affairs, including support for the arts"
"39","National policy issues relating to the information economy"
"40","Information and communications industries development, electronic commerce and business on-line"
"41","Government on-line delivery and information technology and communications management"
"42","Government information"
"43","Sport and recreation"
"44","Defence, including -"
"45","international defence relations and defence co-operation"
"46","defence scientific research and development"
"47","defence procurement and purchasing, including offsets for defence purposes"
"48","defence industry development and co-operation"
"49","Education, other than migrant adult education"
"50","Science policy"
"51","Promotion of collaborative research in science and technology"
"52","Training, including New Apprenticeships and training services"
"53","Co-ordination of research policy"
"54","Research grants and fellowships"
"55","Radioactive waste management"
"56","Employment policy, including employment services"
"57","Job Network"
"58","Labour market programs, including the Work for the Dole scheme"
"59","Workplace relations policy development, advocacy and implementation"
"60","Promotion of flexible workplace relations policies and practices"
"61","Coordination of labour market research"
"62","Australian government employment workplace relations policy, including administration of the framework for agreement making and remuneration and conditions"
"63","Occupational health and safety, rehabilitation and compensation"
"64","Equal employment opportunity"
"65","Work and family issues"
"66","Environment and conservation"
"67","Meteorology"
"68","Administration of the Australian Antarctic Territory, and the Territory of Heard Island and McDonald Islands"
"69","Natural, built and movable cultural heritage"
"70","Greenhouse policy coordination"
"71","Environment protection and conservation of biodervisity"
"72","Air quality"
"73","National fuel quality standards"
"74","Land contamination"
"75","Income security policies and programs"
"76","Services for people with disabilities and families with children"
"77","Community support services, excluding the Home and Community Care programme"
"78","Family relationship services"
"79","Welfare housing"
"80","Youth affairs"
"81","Budget policy advice and process, and review of governmental programs"
"82","Government financial accountability, governance and financial management frameworks"
"83","Shareholder advice on Government Business Enterprises"
"84","General policy guidelines for Commonwealth statutory authorities"
"85","Superannuation for Commonwealth employees"
"86","Asset sales"
"87","Strategic property management in Australia, including acquisition, ownership and disposal of real property"
"88","Procurement policy and services (including contracting out, removals and disposals)"
