"ID","PBS_ID","NUM","DESC"
"1","1","1","Ecologically sustainable and economically efficient Commonwealth fisheries, through understanding and monitoring Australia's marine living resources and regulating and monitoring commercial fishing, including domestic licensing and deterrence of illegal foreign fishing."
"2","2","1","Increased knowledge that fosters sustainable, productive and profitable new and existing rural industries and furthers understanding of national rural issues through research and development in government-industry partnership."
"3","3","1","Protection of the health and safety of people, animals, the environment, and agricultural and livestock industries through regulation of pesticides and veterinary medicines."
"4","4","1","Adoption of innovation that leads to increased productivity, competitiveness and environmental sustainability through investment in research and development that benefits the Australian cotton industry and the wider community."
"5","5","3","Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources."
"6","5","1","More sustainable, productive, internationally competitive and profitable Australian agricultural, food and fibre industries through policies and initiatives that promote better resource management practices, innovation, self-reliance and improved access to international markets."
"7","5","2","Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries."
"8","6","1","Increased economic, social and environmental benefits for Australian fishing and aquaculture, and the wider community, by investing in knowledge, innovation, and marketing."
"9","7","1","New information and products that enhance the productivity, competitiveness and environmental sustainability of Australian grain growers and benefit the industry and wider community, through planning, managing and implementing investments in grains research and development."
"10","8","1","Equitable and sustainable use of the Murray-Darling Basin by governments and the community including through development and implementation of a Basin Plan, operation of the River Murray system, shared natural resource management programs, research, information and advice."
"11","9","1","Encourage growth, investment and resilience in Australian farm businesses and rural and regional communities by delivering the Commonwealth's farm business concessional loans and the National Water Infrastructure Loan Facility."
"12","10","1","Foster and enable a competitive Australian wine industry by investing in research and development, building markets, disseminating knowledge and ensuring compliance."
"13","11","1",
"14","12","1",
"15","13","1",
"16","14","1",
"17","15","1",
"18","16","1",
"19","17","1",
"20","18","1",
"21","20","1",
"22","21","1",
"23","22","1",
"24","23","1",
"25","24","1",
"26","25","1",
"27","26","1",
"28","27","1",
"29","28","1",
"30","29","2","Participation in, and access to, Australia's arts and culture through developing and supporting cultural expression"
"31","29","1",
"32","29","1",
"33","30","1",
"34","31","1",
"35","32","1",
"36","33","1",
"37","34","1",
"38","35","1",
"39","36","1",
"40","37","1",
"41","39","1","Improved quality and consistency of school education in Australia through a national curriculum, national assessment, data collection and performance reporting system"
"42","40","1","Enhance the quality of teaching and school leadership through developing standards, recognising teaching excellence, providing professional development opportunities and supporting the teaching profession."
"43","41","1","Growth of knowledge and innovation through managing research funding schemes, measuring research excellence and providing advice"
"44","42","1","Contribute to a high quality vocational education and training sector, including through streamlined and nationally consistent regulation of training providers and courses, and the communication of advice to the sector on improvements to the quality of vocational education and training."
"45","43","1","Improved early learning, schooling, student educational outcomes and transitions to and from school through access to quality child care, support, parent engagement, quality teaching and learning environments."
"46","43","1",
"47","43","2","Promote growth in economic productivity and social wellbeing through access to quality higher education, international education, and international quality research, skills and training."
"48","44","1","Contribute to a high quality higher education sector through streamlined and nationally consistent higher education regulatory arrangements; registration of higher education providers; accreditation of higher education courses; and investigation, quality assurance and dissemination of higher education standards and performance."
"49","45","1","Support improvements in the competitiveness of renewable energy and related technologies and the supply of renewable energy by administering financial assistance, developing analysis and advice about, and sharing information and knowledge with regard to, renewable energy and related technologies."
"50","46","1","Enabling a safe, prosperous, secure and healthy Australia through the provision of weather, water, climate and ocean services."
"51","47","1","Provide expert advice to the Australian Government on climate change mitigation initiatives, including through conducting regular and specifically commissioned reviews and through undertaking climate change research."
"52","48","1","Facilitate increased flows of finance into Australia's clean energy sector, applying commercial rigour to investing in renewable energy, low-emissions and energy efficiency technologies, building industry capacity, and disseminating information to industry stakeholders."
"53","49","1","Contribute to a reduction in Australia's net greenhouse gas emissions, including through the administration of market based mechanisms that incentivise reduction in emissions and the promotion of additional renewable energy generation."
"54","49","1",
"55","50","1","Management of Commonwealth reserves as outstanding natural places that enhance Australia's well-being through the protection and conservation of their natural and cultural values, supporting the aspirations of Aboriginal and Torres Strait Islander people in managing their traditional land and sea country, and offering world class natural and cultural visitor experiences."
"56","51","4","Support the reliable, sustainable and secure operations of energy markets through improving Australia's energy efficiency, performance and productivity for the community."
"57","51","3","Advance Australia's strategic, scientific, environmental and economic interests in the Antarctic region by protecting, administering and researching the region."
"58","51","1","Conserve, protect and sustainably manage Australia's biodiversity, ecosystems, environment and heritage through research, information management, supporting natural resource management, establishing and managing Commonwealth protected areas, and reducing and regulating the use of pollutants and hazardous substances."
"59","51","1",
"60","51","2","Reduce Australia's greenhouse gas emissions, adapt to the impacts of climate change, contribute to effective global action on climate change, and support technological innovation in clean and renewable energy, through developing and implementing a national response to climate change."
"61","52","1","The long-term protection, ecologically sustainable use, understanding and enjoyment of the Great Barrier Reef for all Australians and the international community, through the care and development of the Marine Park."
"62","53","1","Enhanced appreciation and understanding of the natural and cultural values of Sydney for all visitors, through the remediation, conservation and adaptive re-use of, and access to, Trust lands on Sydney Harbour."
"63","54","1","Maintain an impartial and independent electoral system for eligible voters through active electoral roll management, efficient delivery of polling services and targeted education and public awareness programs."
"64","55","1","Retirement and insurance benefits for scheme members and beneficiaries, including past, present and future employees of the Australian Government and other eligible employers and members of the Australian Defence Force, through investment and administration of their superannuation funds and schemes."
"65","56","1","Make provision for the Commonwealth's unfunded superannuation liabilities, payments for the creation and development of infrastructure and payments from the DisabilityCare Australia Fund and Medical Research Future Fund by managing the investment activities of the Future Fund, Nation-building Funds, DisabilityCare Australia Fund and Medical Research Future Fund, in line with the Government's investment mandates."
"66","57","2",
"67","57","1",
"68","57","3",
"69","58","1","Support for current and former parliamentarians and others as required by the Australian Government through the delivery of, independent oversight and advice on, work resources and travel resources."
"70","59","1","To achieve more productive and sustainable agricultural systems for the benefit of developing countries and Australia through international agricultural research and training partnerships."
"71","60","1","Contribute to Australia's economic prosperity by promoting Australia's export and other international economic interests through the provision of information, advice and services to business, associations, institutions and government"
"72","60","1",
"73","60","2","The protection and welfare of Australians abroad through timely and responsive consular and passport services in specific locations overseas"
"74","61","1",
"75","61","1","The advancement of Australia's international strategic, security and economic interests including through bilateral, regional and multilateral engagement on Australian Government foreign, trade and international development policy priorities"
"76","61","2","The protection and welfare of Australians abroad and access to secure international travel documentation through timely and responsive travel advice and consular and passport services in Australia and overseas"
"77","61","3","A secure Australian Government presence overseas through the provision of security services and information and communication technology infrastructure, and the management of the Commonwealth's overseas property estate"
"78","62","1","Enhanced understanding for the Government of the overseas environment affecting Australia's interests through the provision of covert intelligence services about the capabilities, intentions or activities of people or organisations outside Australia."
"79","63","1","Grow demand and foster a competitive and sustainable Australian tourism industry through partnership marketing to targeted global consumers in key markets."
"80","63","1",
"81","64","1",
"82","65","1",
"83","66","1",
"84","67","1",
"85","68","1",
"86","69","1",
"87","70","1",
"88","71","1",
"89","72","1",
"90","73","5",
"91","73","4",
"92","73","3",
"93","73","6",
"94","73","2",
"95","73","1",
"96","74","1",
"97","75","1",
"98","76","1",
"99","77","1",
"100","78","1",
"101","79","1",
"102","80","1",
"103","81","1","To make Australia safer through improved national ability to discover, understand and respond to current and emerging crime threats and criminal justice issues, including the ability to connect police and law enforcement to essential criminal intelligence, policing knowledge and information through collaborative national information systems and services."
"104","82","1","Reduced criminal and security threats to Australia's collective economic and societal interests through co-operative policing services."
"105","82","2","A safe and secure environment through policing activities on behalf of the Australian Capital Territory Government."
"106","83","1","Informed crime and justice policy and practice in Australia by undertaking, funding and disseminating policy-relevant research of national significance; and through the generation of a crime and justice evidence base and national knowledge centre."
"107","84","1","The protection of the financial system from criminal abuse through actionable financial intelligence and collaboration with domestic and international partners."
"108","85","2",
"109","85","3",
"110","85","1",
"111","86","1","Support individuals, families and communities to achieve greater self-sufficiency; through the delivery of policy advice and high quality accessible social, health and child support services and other payments; and support providers and businesses through convenient and efficient service delivery."
"112","87","1",
"113","88","1",
"114","89","1",
"115","90","1",
"116","90","3",
"117","90","4",
"118","90","2",
"119","91","1",
"120","92","1",
"121","93","1",
"122","94","1",
"123","95","1","Growth of knowledge to support protection and sustainable development of Australia's marine resources through innovative marine science and technology."
"124","96","1","Improved knowledge, innovative capacity and healthcare through nuclear-based facilities, research, training, products, services and advice to Government, industry, the education sector and the Australian population."
"125","97","1","Innovative scientific and technology solutions to national challenges and opportunities to benefit industry, the environment and the community, through scientific research and capability development, services and advice."
"126","98","1",
"127","98","1",
"128","98","1","Enabling growth and productivity for globally competitive industries through supporting science and commercialisation, growing business investment and improving business capability and streamlining regulation."
"129","98","1",
"130","98","1",
"131","99","1","Informed government, industry and community decisions on the economic, social and environmental management of the nation's natural resource through enabling access to geoscientific and spatial information."
"132","100","1","Increased innovation, investment and trade in Australia, and by Australians overseas, through the administration of the registrable intellectual property rights system, promoting public awareness and industry engagement, and advising government."
"133","101","1","Enable economic growth in northern Australia, by facilitating private sector investment in economic infrastructure through the provision of concessional financing delivered through the state and territory Governments."
"134","102","1","Promote and enforce the effective management of risks of the workforce, the environment and the structural integrity of facilities, wells and well-related equipment of the Australian offshore petroleum and greenhouse gas storage industries through regulatory oversight."
"135","103","1","Compliance with workplace relations legislation by employees and employers through advice, education and where necessary enforcement."
"136","104","1",
"137","105","1","Support participation and productivity through healthy and safe workplaces that minimise the impact of harm in workplaces covered by Comcare."
"138","105","1",
"139","106","1","Simple, fair and flexible workplace relations for employees and employers through the exercise of powers to set and vary minimum wages and modern awards, facilitate collective bargaining, approve agreements and deal with diputes"
"140","107","1","Compliance with workplace relations legislation by employees and employers through advice, education and where necessary enforcement."
"141","107","2","Effective governance and financial transparency of registered employee and employer organisations, through regulation, investigation and appropriate enforcement action."
"142","108","2","Facilitate jobs growth through policies and programs that promote fair, productive and safe workplaces, and facilitate the growth of small business."
"143","108","1","Foster a productive and competitive labour market through employment policies and programs that assist job seekers into work, meet employer needs and increase Australia's workforce participation."
"144","109","1","Healthier, safer and more productive workplaces through improvements to Australian work health and safety and workers' compensation arrangements."
"145","110","1","Support the functions of Parliament and parliamentarians through the provision of professional services, advice and facilities and maintain Australian Parliament House."
"146","111","1","Advisory and administrative services support the House of"
"147","111","1",
"148","112","1","Inform the Parliament by providing independent and non-partisan analysis of the budget cycle, fiscal policy and the financial implications of proposals"
"149","112","1",
"150","113","1",
"151","114","1","Improved access to education, employment, health and other services for Aboriginal and Torres Strait Islander people travelling or relocating through the operation of temporary hostel accommodation services."
"152","115","1","Further understanding of Australian Indigenous cultures, past and present through undertaking and publishing research, and providing access to print and audiovisual collections"
"153","116","1","To improve public sector performance and accountability through independent reporting on Australian Government administration to Parliament, the Executive and the public."
"154","117","1","Increased awareness and adoption of best practice public administration by the public service through leadership, promotion, advice and professional development, drawing on research and evaluation."
"155","118","1","To improve the user experience for all Australians accessing government information and services by leading the design, development and continual enhancement of whole-of-government service delivery policies and standards, platforms and joined up services."
"156","119","1","Improved wealth acquisition to support the economic independence of Aboriginal and Torres Strait Islander peoples through commercial enterprise, asset acquisition and access to concessional home and business loans."
"157","120","1","Enhanced socioeconomic development, maintenance of cultural identity and protection of the environment by Indigenous Australians through land acquisition and management."
"158","121","1","Fair and accountable administrative action by Australian Government entities and prescribed private sector organisations, by investigating complaints, reviewing administrative action and statutory compliance inspections and reporting"
"159","122","1","Independent assurance for the Prime Minister, senior ministers and Parliament as to whether Australia's intelligence and security agencies act legally and with propriety by inspecting, inquiring into and reporting on their activities."
"160","123","1","Advancement of Australia's national interests though increased government awareness of international developments affecting Australia and integration, coordination and evaluation of Australia's national intelligence capabilities."
"161","124","1","The performance of the Governor-General's role is facilitated through the organisation and management of official duties, management and maintenance of the official household and property and administration of the Australian Honours and Awards system."
"162","125","2","Improve results for Indigenous Australians including in relation to school attendance, employment and community safety, through delivering services and programmes, and through measures that recognise the special place that Indigenous people hold in this Nation."
"163","125","1","Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Assistant Ministers including through the coordination of government activities, policy development and program delivery."
"164","126","1","Progress towards Closing the Gap for Torres Strait Islander and Aboriginal people living in the Torres Strait Region through development planning, coordination, sustainable resource management, and preservation and promotion of Indigenous culture."
"165","127","1","Promote and improve gender equality in Australian workplaces including through the provision of advice and assistance to employers and the assessment and measurement of workplace gender equality data."
"166","128","1",
"167","129","1",
"168","129","2",
"169","129","2","Families and Communities"
"170","129","2",
"171","129","1","Social Security"
"172","129","1",
"173","129","3","Disability and Carers"
"174","129","3",
"175","129","3",
"176","129","4","Housing"
"177","129","4",
"178","130","1",
"179","131","1",
"180","132","1","The formulation and making of accounting standards that are used by Australian entities to prepare financial reports and enable users of these reports to make informed decisions"
"181","133","1","Decisions on important matters made by Governments, business and the broader community are informed by objective, relevant and trusted official statistics produced through the collection and integration of data, its analysis, and the provision of statistical information."
"182","134","1","Lawful competition, consumer protection, and regulated national infrastructure markets and services through regulation, including enforcement, education, price monitoring and determining the terms of access to infrastructure services."
"183","135","1","the advancement of macroeconomic growth and stability, and the effective operation of financial markets, through issuing debt, investing in financial assets and managing debt, investments and cash for the Australian Government."
"184","136","1","Supporting and implementing informed decisions on policies for the good of the Australian people, including for achieving strong, sustainable economic growth, through the provision of advice to Treasury Ministers and the efficient administration of Treasury's functions."
"185","137","1","Improved confidence in Australia's financial markets through promoting informed investors and financial consumers, facilitating fair and efficient markets and delivering efficient registry systems."
"186","138","1","Supporting and implementing informed decisions on policies for the good of the Australian people, including for achieving strong, sustainable economic growth, through the provision of advice to Treasury Ministers and the efficient administration of Treasury's functions."
"187","138","1",
"188","139","1","The formulation and making of auditing and assurance standards that are used by auditors of Australian entity financialreports or for other auditing and assurance engagements"
"189","140","1","Informed Government decisions on fiscal equalisation between the States and Territories through advice and recommendations on the distribution of GST revenue."
"190","141","1","Improved tax administration through investigation of complaints, conducting reviews, public reporting and independent advice to Government and its relevant entities."
"191","142","1","The coinage needs of the Australian economy, collectors and foreign countries are met through the manufacture and sale of circulating coins, collector coins and other minted like products."
"192","143","1","Competition in markets that are dependent on access to nationally significant monopoly infrastructure, through recommendations and decisions promoting the efficient operation of, use of, and investment in infrastructure."
"193","144","1",
"194","145","1","Supporting and implementing informed decisions on policies for the good of the Australian people, including for achieving strong, sustainable economic growth, through the provision of advice to Treasury Ministers and the efficient administration of Treasury's functions."
"195","145","1",
"196","146","1",
"197","146","1",
"198","147","3",
"199","147","2",
"200","147","1",
"201","147","1",
"202","147","2",
"203","147","2",
"204","147","2",
"205","147","2",
"206","147","2",
"207","147","3",
"208","147","2",
"209","147","1",
"210","147","1",
"211","147","1",
"212","147","1",
"213","148","1",
"214","149","1",
"215","150","1",
"216","151","1",
"217","152","1","Informed, educated and entertained audiences - throughout Australia and overseas - through"
"218","153","1",
"219","154","1","Improved quality and consistency of school education in Australia through a national curriculum, national assessment, data collection, and performance reporting system"
"220","155","1",
"221","156","1","To achieve more productive and sustainable agricultural systems for the benefit of developing countries and Australia through international agricultural research and training parnterships."
"222","157","1",
"223","158","1","A communications and media environment that balances the needs of the industry and the Australian community through regulation, education and advice"
"224","159","1",
"225","160","1",
"226","161","1","Maintain an impartial and"
"227","162","1","Ecologically sustainable and economically efficient Commonwealth fisheries, through understanding and monitoring Australia's marine living resources and regulating and monitoring commercial fishing, including domestic licensing and deterrence of illegal foreign fishing."
"228","163","1",
"229","163","2",
"230","164","1",
"231","165","1",
"232","166","1",
"233","166","2",
"234","166","2",
"235","167","1","Foster and enable a competitive Australian wine industry by investing in research and development, building markets, disseminating knowledge and ensuring compliance."
