"ID","ORD","AAO_ID","DEPT_ID","PORTFOLIO_ID"
"1","0","60","1",
"2","1","60","2",
"3","2","60","3",
"4","3","60","4",
"5","4","60","5",
"6","5","60","6",
"7","6","60","7",
"8","7","60","8",
"9","8","60","9",
"10","9","60","10",
"11","10","60","11",
"12","11","60","12",
"13","12","60","13",
"14","13","60","14",
"15","14","60","15",
"16","15","60","16",
"17","16","60","17","1"
"18","0","61","1",
"19","1","61","2",
"20","2","61","3",
"21","3","61","4",
"22","4","61","5",
"23","5","61","6",
"24","6","61","7",
"25","7","61","8",
"26","8","61","9",
"27","9","61","10",
"28","10","61","11",
"29","11","61","12",
"30","12","61","13",
"31","13","61","14",
"32","14","61","15",
"33","15","61","16",
"34","16","61","17","1"
"35","0","62","1",
"36","1","62","2",
"37","2","62","3",
"38","3","62","4",
"39","4","62","5",
"40","5","62","6",
"41","6","62","7",
"42","7","62","8",
"43","8","62","9",
"44","9","62","10",
"45","10","62","11",
"46","11","62","18","2"
"47","12","62","12",
"48","13","62","13",
"49","14","62","14",
"50","15","62","15",
"51","16","62","16",
"52","17","62","17","1"
"53","0","63","1",
"54","1","63","2",
"55","2","63","3",
"56","3","63","4",
"57","4","63","5",
"58","5","63","6",
"59","6","63","7",
"60","7","63","8",
"61","8","63","9",
"62","9","63","10",
"63","10","63","11",
"64","11","63","18","2"
"65","12","63","12",
"66","13","63","13",
"67","14","63","14",
"68","15","63","15",
"69","16","63","16",
"70","17","63","17","1"
"71","0","64","1",
"72","1","64","2",
"73","2","64","3",
"74","3","64","4",
"75","4","64","5",
"76","5","64","6",
"77","6","64","7",
"78","7","64","8",
"79","8","64","9",
"80","9","64","10",
"81","10","64","11",
"82","11","64","18","2"
"83","12","64","12",
"84","13","64","13",
"85","14","64","14",
"86","15","64","15",
"87","16","64","16",
"88","17","64","17","1"
"89","0","65","1",
"90","1","65","2",
"91","2","65","3",
"92","3","65","4",
"93","4","65","5",
"94","5","65","6",
"95","6","65","7",
"96","7","65","19",
"97","8","65","9",
"98","9","65","10",
"99","10","65","11",
"100","11","65","18","2"
"101","12","65","20",
"102","13","65","13",
"103","14","65","14",
"104","15","65","15",
"105","16","65","16",
"106","17","65","17","1"
"107","0","66","1",
"108","1","66","2",
"109","2","66","3",
"110","3","66","4",
"111","4","66","5",
"112","5","66","6",
"113","6","66","7",
"114","7","66","19",
"115","8","66","9",
"116","9","66","10",
"117","10","66","11",
"118","11","66","18","2"
"119","12","66","20",
"120","13","66","13",
"121","14","66","14",
"122","15","66","15",
"123","16","66","16",
"124","17","66","17","1"
"125","0","67","1",
"126","1","67","2",
"127","2","67","3",
"128","3","67","4",
"129","4","67","5",
"130","5","67","6",
"131","6","67","21",
"132","7","67","19",
"133","8","67","9",
"134","9","67","10",
"135","10","67","11",
"136","11","67","18",
"137","12","67","22",
"138","13","67","13",
"139","14","67","14",
"140","15","67","15",
"141","16","67","16",
"142","17","67","17","1"
"143","0","68","1",
"144","1","68","2",
"145","2","68","23",
"146","3","68","24","3"
"147","4","68","4",
"148","5","68","25",
"149","6","68","26",
"150","7","68","27",
"151","8","68","28",
"152","9","68","10",
"153","10","68","11",
"154","11","68","18",
"155","12","68","22",
"156","13","68","29",
"157","14","68","30",
"158","15","68","14",
"159","16","68","31",
"160","17","68","16",
"161","18","68","17","1"
"162","0","69","1",
"163","1","69","2",
"164","2","69","23",
"165","3","69","24","3"
"166","4","69","4",
"167","5","69","25",
"168","6","69","26",
"169","7","69","27",
"170","8","69","28",
"171","9","69","10",
"172","10","69","11",
"173","11","69","18",
"174","12","69","22",
"175","13","69","29",
"176","14","69","30",
"177","15","69","14",
"178","16","69","31",
"179","17","69","16",
"180","18","69","17","1"
"181","0","70","1",
"182","1","70","2",
"183","2","70","23",
"184","3","70","24","3"
"185","4","70","4",
"186","5","70","25",
"187","6","70","26",
"188","7","70","27",
"189","8","70","28",
"190","9","70","10",
"191","10","70","11",
"192","11","70","18",
"193","12","70","22",
"194","13","70","29",
"195","14","70","30",
"196","15","70","14",
"197","16","70","31",
"198","17","70","16",
"199","18","70","17","1"
"200","0","71","1",
"201","1","71","2",
"202","2","71","23",
"203","3","71","32",
"204","4","71","4",
"205","5","71","25",
"206","6","71","26",
"207","7","71","27",
"208","8","71","28",
"209","9","71","10",
"210","10","71","11",
"211","11","71","18",
"212","12","71","22",
"213","13","71","29",
"214","14","71","30",
"215","15","71","14",
"216","16","71","31",
"217","17","71","16",
"218","18","71","17","1"
"219","0","72","1",
"220","1","72","2",
"221","2","72","23",
"222","3","72","32",
"223","4","72","4",
"224","5","72","25",
"225","6","72","26",
"226","7","72","27",
"227","8","72","28",
"228","9","72","10",
"229","10","72","11",
"230","11","72","18",
"231","12","72","22",
"232","13","72","29",
"233","14","72","30",
"234","15","72","14",
"235","16","72","31",
"236","17","72","16",
"237","18","72","17","1"
"238","0","73","1",
"239","1","73","2",
"240","2","73","23",
"241","3","73","32",
"242","4","73","4",
"243","5","73","25",
"244","6","73","26",
"245","7","73","27",
"246","8","73","28",
"247","9","73","10",
"248","10","73","11",
"249","11","73","18",
"250","12","73","22",
"251","13","73","29",
"252","14","73","30",
"253","15","73","14",
"254","16","73","31",
"255","17","73","16",
"256","18","73","17","1"
"257","0","74","1",
"258","1","74","2",
"259","2","74","23",
"260","3","74","32",
"261","4","74","4",
"262","5","74","25",
"263","6","74","27",
"264","7","74","28",
"265","8","74","10",
"266","9","74","11",
"267","10","74","18",
"268","11","74","22",
"269","12","74","33",
"270","13","74","30",
"271","14","74","14",
"272","15","74","34","3"
"273","16","74","31",
"274","17","74","35",
"275","18","74","16",
"276","19","74","17","1"
"277","0","75","1",
"278","1","75","2",
"279","2","75","23",
"280","3","75","32",
"281","4","75","4",
"282","5","75","25",
"283","6","75","27",
"284","7","75","28",
"285","8","75","10",
"286","9","75","11",
"287","10","75","18",
"288","11","75","22",
"289","12","75","33",
"290","13","75","30",
"291","14","75","14",
"292","15","75","34","3"
"293","16","75","31",
"294","17","75","35",
"295","18","75","16",
"296","19","75","17","1"
"297","0","76","1",
"298","1","76","2",
"299","2","76","23",
"300","3","76","32",
"301","4","76","4",
"302","5","76","25",
"303","6","76","27",
"304","7","76","28",
"305","8","76","10",
"306","9","76","11",
"307","10","76","18",
"308","11","76","22",
"309","12","76","33",
"310","13","76","30",
"311","14","76","14",
"312","15","76","34","3"
"313","16","76","31",
"314","17","76","35",
"315","18","76","16",
"316","19","76","17","1"
"317","0","77","1",
"318","1","77","2",
"319","2","77","23",
"320","3","77","32",
"321","4","77","4",
"322","5","77","25",
"323","6","77","27",
"324","7","77","28",
"325","8","77","10",
"326","9","77","11",
"327","10","77","18",
"328","11","77","22",
"329","12","77","33",
"330","13","77","30",
"331","14","77","14",
"332","15","77","34","3"
"333","16","77","31",
"334","17","77","35",
"335","18","77","16",
"336","19","77","17","1"
"337","0","78","1",
"338","1","78","2",
"339","2","78","23",
"340","3","78","32",
"341","4","78","4",
"342","5","78","25",
"343","6","78","27",
"344","7","78","28",
