"ID","PORTFOLIO_ID","DEPT_ID","AGENCY_ID","BUDGET_YEAR","FILE"
"1",,"54","1","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Agriculture and Water Resources/2018-19 PBS - AFMA - cleaned.XLSX"
"2",,"54","2","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Agriculture and Water Resources/2018-19 PBS - AGRIFUTURES - cleaned.XLSX"
"3",,"54","3","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Agriculture and Water Resources/2018-19 PBS - APVMA - cleaned.XLSX"
"4",,"54","4","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Agriculture and Water Resources/2018-19 PBS - CRDC - cleaned.XLSX"
"5",,"54","5","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Agriculture and Water Resources/2018-19 PBS - DoAWR - cleaned.XLSX"
"6",,"54","6","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Agriculture and Water Resources/2018-19 PBS - FRDC - cleaned.XLSX"
"7",,"54","7","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Agriculture and Water Resources/2018-19 PBS - GRDC - cleaned.XLSX"
"8",,"54","8","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Agriculture and Water Resources/2018-19 PBS - MDBA - cleaned.XLSX"
"9",,"54","9","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Agriculture and Water Resources/2018-19 PBS - RIC - cleaned.XLSX"
"10",,"54","10","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Agriculture and Water Resources/2018-19 PBS - WA - cleaned.XLSX"
"11",,"2","11","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Attorney-General's/2018-19 PBS - AAT - cleaned.xlsx"
"12",,"2","12","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Attorney-General's/2018-19 PBS - ACLEI - cleaned.xlsx"
"13",,"2","13","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Attorney-General's/2018-19 PBS - AFSA - cleaned.xlsx"
"14",,"2","14","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Attorney-General's/2018-19 PBS - AG's - cleaned.xlsx"
"15",,"2","15","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Attorney-General's/2018-19 PBS - AHRC - cleaned.xlsx"
"16",,"2","16","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Attorney-General's/2018-19 PBS - ALRC - cleaned.xlsx"
"17",,"2","17","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Attorney-General's/2018-19 PBS - ASIO - cleaned.xlsx"
"18",,"2","18","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Attorney-General's/2018-19 PBS - DPP - cleaned.xlsx"
"19",,"2","19","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Attorney-General's/2018-19 PBS - FCA - cleaned.xlsx"
"20",,"2","20","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Attorney-General's/2018-19 PBS - HCA - cleaned.xlsx"
"21",,"2","21","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Attorney-General's/2018-19 PBS - NAA - cleaned.xlsx"
"22",,"2","22","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Attorney-General's/2018-19 PBS - OAIC - cleaned.xlsx"
"23",,"2","23","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Attorney-General's/2018-19 PBS - OPC - cleaned.xlsx"
"24",,"52","24","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Communications and the Arts/2018-19 PBS - ABC - cleaned.xlsx"
"25",,"52","25","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Communications and the Arts/2018-19 PBS - ACMA - cleaned.xlsx"
"26",,"52","26","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Communications and the Arts/2018-19 PBS - ACouncil - cleaned.xlsx"
"27",,"52","27","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Communications and the Arts/2018-19 PBS - AFTRS - cleaned.xlsx"
"28",,"52","28","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Communications and the Arts/2018-19 PBS - ANMM - cleaned.xlsx"
"29",,"52","29","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Communications and the Arts/2018-19 PBS - DOCA - cleaned.xlsx"
"30",,"52","30","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Communications and the Arts/2018-19 PBS - NFSA - cleaned.xlsx"
"31",,"52","31","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Communications and the Arts/2018-19 PBS - NGA - cleaned.xlsx"
"32",,"52","32","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Communications and the Arts/2018-19 PBS - NLA - cleaned.xlsx"
"33",,"52","33","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Communications and the Arts/2018-19 PBS - NMA - cleaned.xlsx"
"34",,"52","34","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Communications and the Arts/2018-19 PBS - NPG - cleaned.xlsx"
"35",,"52","35","2018","data/data.gov.au/dataset/863c394c-a26c-4340-896b-a26b18af476d/resource/6314ce07-b75f-43f9-8f0b-e4c82f1a49c8/download/2018-19-pbs-agency-tables/Communications and the Arts/2018-19 PBS - OPH - cleaned.xlsx"
