"ID","OUTCOME_ID","NUM","TITLE"
"1","1","1","Australian Fisheries Management Authority"
"2","2","1","Rural Industries Research and Development"
"3","3","1","Australian Pesticides and Veterinary Medicines Authority"
"4","4","1","Cotton Research and Development Corporation"
"5","5","1","Water Reform"
"6","5","1","Water Reform"
"7","6","2","Sustainable Management - Natural Resources"
"8","6","3","Forestry Industry"
"9","6","4","Fishing Industry"
"10","6","5","Horticulture Industry"
"11","6","6","Wool Industry"
"12","6","7","Grains Industry"
"13","6","8","Dairy Industry"
"14","6","9","Meat and Livestock Industry"
"15","6","10","Agricultural Resources"
"16","6","10","Agricultural Resources"
"17","6","11","Drought Programs"
"18","6","12","Rural Programs"
"19","6","11","Drought Programs"
"20","6","13","International Market Access"
"21","6","4","Fishing Industry"
"22","7","1","Biosecurity and Export Services"
"23","7","2","Plant and Animal Health"
"24","7","2","Plant and Animal Health"
"25","8","1","Fisheries Research and Development Corporation"
"26","9","1","Grains Research and Development Corporation"
"27","10","1","Murray-Darling Basin Authority"
"28","11","1","Regional Investment Corporation"
"29","12","1","Wine Australia"
"30","13","1","Administrative Appeals Tribunal"
"31","14","1","Detect, investigate and prevent corruption in prescribed law enforcement agencies; assist law enforcement agencies to maintain and improve the integrity of staff members"
"32","15","1","Personal insolvency and Trustee Services"
"33","15","2","Operation of a National Register of Security Intersets in Personal Property"
"34","16","1","Attorney-General's Department Operating Expenses— Civil Justice and Legal Services"
"35","16","2","Attorney-General's Department Operating Expenses— National Security and Criminal Justice"
"36","16","3","Australian Government Solicitor"
"37","16","4","Justice Services"
"38","16","5","Family Relationships"
"39","16","6","Indigenous Legal and Native Title Assistance"
"40","16","7","National Security and Criminal Justice"
"41","16","8","Australian Government Disaster Financial Support Payments"
"42","16","9","Royal Commissions"
"43","17","1","Australians have access to independent human rights complaint handling and public inquiry processes and benefit from human rights education, promotion and monitoring and compliance activities"
"44","18","1","Conducting inquiries into aspects of Australian law and related processes for the purpose of law reform"
"45","19","1","Security Intelligence"
"46","20","1","An independent service to prosecute alleged offences against the criminal law of the Commonwealth"
"47","21","1","High Court Business"
"48","22","1","National Archives of Australia"
"49","23","1","Complaint handling, compliance and monitoring, and education and promotion"
"50","24","1","Legislative drafting and publication"
"51","25","1","ABC General Operational Activities"
"52","25","2","ABC Transmission and Distribution Services"
"53","26","1","Communications, regulation, planning and licensing"
"54","26","2","Consumer safeguards, education and information"
"55","26","3","Office of the eSafety Commisioner"
"56","27","1","To champion and invest in Australian arts"
"57","28","1","Australian film, Television and Radio School"
"58","29","1","Management of maritime heritage"
"59","30","1","Arts and Cultural Development"
"60","33","1","Collect, preserve and share the national audiovisual collection"
"61","34","1","Collection Development, management, access and promotion"
"62","35","1","National Library of Australia"
"63","36","1","Collection Management, Research, Exhibitions and Programs"
"64","37","1","Develop, maintain and provide access to Australia's national portrait collection"
"65","38","1","Old Parliament House"
"66","39","1","Screen Australia"
"67","40","1","SBS General Operational Activities"
"68","40","2","SBS Transmission and Distribution Services"
"69","41","1","National Curriculum"
"70","41","2","National Assessment"
"71","41","3","National Data Collection and Reporting"
"72","41","4","National Collaboration and Leadership"
"73","42","1","Assistance for Quality Teaching and Learning"
"74","43","1","Discovery - research and research training"
"75","43","2","Linkage - cross-sector research partnerships"
"76","43","3","Excellence in Research for Australia"
"77","44","1","Regulation and advice"
"78","45","1","Support for the Child Care System"
"79","45","2","Child Care Benefit"
"80","45","3","Child Care Rebate"
"81","45","4","Child Care Subsidy"
"82","45","5","Government Schools National Support"
"83","45","6","Non-Government Schools National Support"
"84","45","7","Early Learning and Schools Support"
"85","46","7","Early Learning and Schools Support"
"86","47","1","Commonwealth Grant Scheme"
"87","47","2","Higher Education Superannuation Program"
"88","47","3","Higher Education Support"
"89","47","4","Higher Education Loan Program"
"90","47","5","Investment in Higher Education Research"
"91","47","6","Research Capacity"
"92","47","7","International Education Support"
"93","47","8","Building Skills and Capability"
"94","48","1","Regulation and Quality Assurance"
"95","49","1","Australian Renewable Energy Agency"
"96","50","1","Bureau of Meteorology"
"97","51","1","Reviewing Climate Change Mitigation Policies"
"98","52","1","Clean Energy Finance Corporation"
"99","53","1","Clean Energy Regulator"
"100","54","1","Clean Energy Regulator"
"101","55","1","Parks and Reserves"
"102","56","1","Energy"
"103","57","1","Antarctica: Science, Policy and Presence"
"104","58","1","Sustainable Management of Natural Resources and the Environment"
"105","58","2","Environmental Information and Research"
"106","58","3","Commonwealth Environmental Water"
"107","58","4","Conservation of Australia's Heritage and Environment"
"108","58","5","Environmental Regulation"
"109","58","6","Management of Hazardous Wastes, Substances and Pollutants"
"110","60","1","Reducing Australia's Greenhouse Gas Emissions"
"111","60","2","Adapting to Climate Change"
"112","60","3","Renewable Energy Technology Development"
