"TOTAL_DESC_ID","PROGRAM_ID","AMOUNT"
"1","1","44297.0"
"2","1","46230.0"
"3","1","44466.0"
"4","1","45833.0"
"5","1","47914.0"
"1","2","30721.0"
"2","2","30151.0"
"3","2","27288.0"
"4","2","22737.0"
"5","2","22870.0"
"1","3","39122.0"
"2","3","53325.0"
"3","3","35447.0"
"4","3","28331.0"
"5","3","28527.0"
"1","4","26007.0"
"2","4","24331.0"
"3","4","24604.0"
"4","4","25160.0"
"5","4","25726.0"
"1","5","877558.0"
"2","5","1195136.0"
"3","5","666249.0"
"4","5","653068.0"
"5","5","685420.0"
"1","7","20632.0"
"2","7","8320.0"
"3","7","4000.0"
"1","8","13157.0"
"2","8","14502.0"
"3","8","18615.0"
"4","8","18133.0"
"5","8","17554.0"
"1","9","23863.0"
"2","9","23846.0"
"3","9","26138.0"
"4","9","26588.0"
"5","9","27018.0"
"1","10","108371.0"
"2","10","108988.0"
"3","10","109988.0"
"4","10","109988.0"
"5","10","109988.0"
"1","11","89000.0"
"2","11","89000.0"
"3","11","89000.0"
"4","11","89000.0"
"5","11","89000.0"
"1","12","195970.0"
"2","12","199270.0"
"3","12","203475.0"
"4","12","207741.0"
"5","12","213790.0"
"1","13","53831.0"
"2","13","51708.0"
"3","13","51280.0"
"4","13","51799.0"
"5","13","52465.0"
"1","14","238358.0"
"2","14","241416.0"
"3","14","245366.0"
"4","14","249723.0"
"5","14","253333.0"
"1","16","196998.0"
"2","16","208348.0"
"3","16","199157.0"
"4","16","174703.0"
"5","16","174306.0"
"1","17","3757.0"
"2","17","43765.0"
"3","17","41010.0"
"4","17","40756.0"
"5","17","42694.0"
"1","19","54896.0"
"2","19","57086.0"
"3","19","54483.0"
"4","19","57510.0"
"5","19","57786.0"
"1","20","16839.0"
"2","20","15405.0"
"3","20","15592.0"
"4","20","15846.0"
"5","20","16093.0"
"1","22","16648.0"
"2","22","18866.0"
"3","22","7268.0"
"4","22","7364.0"
"5","22","6483.0"
"1","24","64361.0"
"2","24","48631.0"
"3","24","49296.0"
"4","24","46426.0"
"5","24","48362.0"
"1","25","31672.0"
"2","25","34676.0"
"3","25","35535.0"
"4","25","36944.0"
"5","25","38224.0"
"1","26","225200.0"
"2","26","228870.0"
"3","26","231536.0"
"4","26","232543.0"
"5","26","233578.0"
"1","27","180346.0"
"2","27","194084.0"
"3","27","171297.0"
"4","27","147759.0"
"5","27","159959.0"
"2","28","17328.0"
"3","28","25375.0"
"4","28","33417.0"
"5","28","41276.0"
"6","29","59038.0"
"7","29","60165.0"
"3","29","68659.0"
"4","29","52597.0"
"5","29","50847.0"
"1","30","174559.0"
"2","30","179100.0"
"3","30","175781.0"
"4","30","157567.0"
"5","30","162879.0"
"1","32","107346.0"
"2","32","107949.0"
"3","32","109196.0"
"4","32","109223.0"
"5","32","108609.0"
"1","33","44184.0"
"2","33","44861.0"
"3","33","44861.0"
"4","33","43323.0"
"5","33","43323.0"
"1","34","72224.0"
"2","34","77867.0"
"3","34","70298.0"
"4","34","68816.0"
"5","34","70482.0"
"1","35","152518.0"
"2","35","70104.0"
"3","35","62064.0"
"4","35","59276.0"
"5","35","58914.0"
"1","36","148151.0"
"2","36","119231.0"
"3","36","122163.0"
"4","36","124296.0"
"5","36","126976.0"
"1","37","82592.0"
"2","37","77748.0"
"3","37","78283.0"
"4","37","75207.0"
"5","37","72700.0"
"1","38","166425.0"
"2","38","167028.0"
"3","38","166762.0"
"4","38","168693.0"
"5","38","170638.0"
"1","39","74772.0"
"2","39","74683.0"
"3","39","75524.0"
"4","39","70509.0"
"5","39","71496.0"
"1","40","41339.0"
