"ID","NAME"
"1","2017-18 Estimated actual $'000"
"2","2018-19 Budget $'000"
"3","2019-20 Forward estimate $'000"
"4","2020-21 Forward estimate $'000"
"5","2021-22 Forward estimate $'000"
"6","2017-18 estimated actual $'000"
"7","2018-19 estimate $'000"
"8","2019-20 Forward Year 1 $'000"
"9","2020-21 Forward Year 2 $'000"
"10","2021-22 Forward Year 3 $'000"
"11","2020 Forward Year 2 $'000"
"12","2018-19 Budget estimate $'000"
"13","2015-16 Estimated actual $'000"
"14","2016-17 Budget $'000"
"15","2017-18 Forward estimate $'000"
"16","2018-19 Forward estimate $'000"
"17","2017-18 Forward Year 1 $'000"
"18","2018-19 Forward Year 2 $'000"
"19","2019-20 Forward Year 3 $'000"
"20","2016-17 Budgeted $'000"
"21","2017-18 Estimated estimate $'000"
"22","2018-19 Estimated expenses $'000"
"23","2019-20 Estimated expenses $'000"
"24","2016-17 Budget estimate $'000"
"25","2015­16 Estimated actual $'000"
"26","2016­17 Budget $'000"
"27","2017­18 Forward Estimate $'000"
"28","2018­19 Forward Estimate $'000"
"29","2019­20 Forward Estimate $'000"
"30","2015-16 Estimated actual1 $'000"
"31","2015-16 Estimated actual"
"32","2016-17"
"33","2017-18 Forward estimate"
"34","2018-19 Forward estimate"
"35","2019-20"
"36","2016-17 Estimated actual $'000"
"37","2017-18 Budget $'000"
"38","2016-17 Estimated actual"
"39","2017-18 Budget"
"40","2019-20 Forward estimate"
"41","2020-21 Forward estimate"
"42","2017-18 Budget "
"43","2018-19 Forward Year 1 $'000"
"44","2019-20 Forward Year 2 $'000"
"45","2020-21 Forward Year 3 $'000"
"46","2017-18 Budget estimate $'000"
"47","Estimated actual 2013-14 $'000"
"48","Budget estimate 2014-15 $'000"
"49","Forward estimate 2015-16 $'000"
"50","Forward estimate 2016-17 $'000"
"51","Forward estimate 2017-18 $'000"
"52","Estimated actual"
"53","Estimated expenses"
"54","2013-14 Estimated actual $'000"
"55","2014-15 Budget $'000"
"56","2015-16 Forward year 1 $'000"
"57","2016-17 Forward year 2 $'000"
"58","2017-18 Forward year 3 $'000"
"59","2013-14 Estimated actual expenses $'000"
"60","2014-15 Estimated expenses $'000"
"61","2015-16 Forward Year 1 $'000"
"62","2016-17 Forward Year 2 $'000"
"63","2017-18 Forward Year 3 $'000"
"64","2014-15 Estimate expenses $'000"
"65","2014-15 Estimated actual expenses $'000"
"66","2015-16 Estimated expenses $'000"
"67","2014-15 Estimated actual $'000"
"68","2015-16 Budget $'000"
"69","2016-17 Forward estimate $'000"
"70","Estimated"
"71","2014-151 Estimated actual expenses $'000"
"72","2014-151 Estimated actual $'000"
"73","2016-17 Forward Year 1 $'000"
"74","2017-18 Forward Year 2 $'000"
"75","2018-19 Forward Year 3 $'000"
"76","2015-16 Budget estimate $'000"
"77","2014­15 Estimated actual expenses $'000"
"78","2015­16 Estimated expenses $'000"
"79","Estimated actual expenses $'000"
"80","Estimated expenses $'000"
"81","2014-15 Estimated actual expenses"
"82","2015-16 Estimated expenses"
