matter	dept	mb
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2010-05-06
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2010-06-29
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2010-09-14
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2010-10-14
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2011-10-19
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2011-12-07
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2011-12-14
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2012-02-09
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2013-03-25
Aboriginal and Torres Strait Islander health programs and policies	Health and Ageing	2013-05-16
Administration of Parliamentarians' entitlements	Finance and Administration	2001-11-26
Administration of Parliamentarians' entitlements	Finance and Administration	2003-12-18
Administration of Parliamentarians' entitlements	Finance and Administration	2004-10-26
Administration of Parliamentarians' entitlements	Finance and Administration	2004-12-16
Administration of Parliamentarians' entitlements	Finance and Administration	2005-07-21
Administration of Parliamentarians' entitlements	Finance and Administration	2006-01-27
Administration of Parliamentarians' entitlements	Finance and Administration	2006-09-21
Administration of Parliamentarians' entitlements	Finance and Administration	2007-01-30
Administration of Parliamentarians' entitlements	Finance and Deregulation	2007-12-03
Administration of Parliamentarians' entitlements	Finance and Deregulation	2008-01-25
Administration of Parliamentarians' entitlements	Finance and Deregulation	2008-05-01
Administration of Parliamentarians' entitlements	Finance and Deregulation	2010-03-08
Administration of Parliamentarians' entitlements	Finance and Deregulation	2010-05-06
Administration of Parliamentarians' entitlements	Finance and Deregulation	2010-06-29
Administration of Parliamentarians' entitlements	Finance and Deregulation	2010-09-14
Administration of Parliamentarians' entitlements	Finance and Deregulation	2010-10-14
Administration of Parliamentarians' entitlements	Finance and Deregulation	2011-10-19
Administration of Parliamentarians' entitlements	Finance and Deregulation	2011-12-07
Administration of Parliamentarians' entitlements	Finance and Deregulation	2011-12-14
Administration of Parliamentarians' entitlements	Finance and Deregulation	2012-02-09
Administration of Parliamentarians' entitlements	Finance and Deregulation	2013-03-25
Administration of Parliamentarians' entitlements	Finance and Deregulation	2013-05-16
Administration of Parliamentarians' entitlements	Finance	2013-09-18
Administration of Parliamentarians' entitlements	Finance	2013-10-03
Administration of Parliamentarians' entitlements	Finance	2013-12-12
Administration of Parliamentarians' entitlements	Finance	2014-12-23
Administration of Parliamentarians' entitlements	Finance	2015-07-09
Administration of Parliamentarians' entitlements	Finance	2015-09-21
Administration of Parliamentarians' entitlements	Finance	2015-09-30
Administration of Parliamentarians' entitlements	Finance	2016-02-18
Administration of Parliamentarians' entitlements	Finance	2016-07-19
Administration of Parliamentarians' entitlements	Finance	2016-09-01
Administration of Parliamentarians' entitlements	Finance	2016-10-27
Administration of Parliamentarians' entitlements	Finance	2017-04-13
Administration of Parliamentarians' entitlements	Finance	2017-11-30
Administration of Parliamentarians' entitlements	Finance	2017-12-20
Administration of Parliamentarians' work expenses	Finance	2018-04-19
Administration of Parliamentarians' work expenses	Finance	2018-05-10
Administration of Parliamentarians' work expenses	Finance	2018-08-28
Administration of criminal justice, including -	Attorney-General's	2017-12-20
Administration of criminal justice, including -	Attorney-General's	2018-04-19
Administration of criminal justice, including -	Attorney-General's	2018-05-10
Administration of criminal justice, including -	Attorney-General's	2018-08-28
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2001-11-26
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2003-12-18
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2004-10-26
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2004-12-16
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2005-07-21
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2006-01-27
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2006-09-21
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2007-01-30
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2007-12-03
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2008-01-25
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2008-05-01
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2010-03-08
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2010-05-06
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2010-06-29
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2010-09-14
Administration of export controls on agricultural, fisheries and forestry industries products	Agriculture, Fisheries and Forestry	2010-10-14
